contig_u,contig_v,short_pair_count,long_read_count,total_support
1,127,18,0,18
1,212,0,0,0
10,121,29,0,29
10,148,13,0,13
100,127,9,0,9
100,159,12,0,12
101,115,23,0,23
101,135,16,0,16
102,212,0,0,0
102,215,0,0,0
103,105,0,0,0
103,15,0,0,0
103,168,28,0,28
103,183,0,0,0
103,23,0,0,0
103,27,0,0,0
103,28,0,0,0
103,38,0,0,0
103,39,0,0,0
103,49,0,0,0
103,55,0,0,0
103,56,0,0,0
103,59,0,0,0
103,69,0,0,0
103,73,0,0,0
103,88,0,0,0
104,124,158,0,158
104,214,10,0,10
105,127,9,0,9
105,15,0,0,0
105,183,0,0,0
105,23,0,0,0
105,27,0,0,0
105,28,0,0,0
105,38,0,0,0
105,39,0,0,0
105,49,0,0,0
105,55,0,0,0
105,56,0,0,0
105,59,0,0,0
105,69,0,0,0
105,73,0,0,0
105,88,0,0,0
106,153,33,0,33
106,200,0,0,0
106,8,0,0,0
106,89,0,0,0
107,115,30,0,30
107,162,12,0,12
108,133,21,0,21
108,169,19,0,19
109,144,16,0,16
109,200,0,0,0
11,13,0,0,0
11,137,0,0,0
11,142,0,0,0
11,161,0,0,0
11,165,21,0,21
11,62,0,0,0
11,65,0,0,0
11,71,0,0,0
11,72,0,0,0
11,92,0,0,0
110,127,26,0,26
110,194,15,0,15
111,114,0,0,0
111,23,0,0,0
111,43,0,0,0
111,47,0,0,0
112,123,0,0,0
112,200,0,0,0
112,210,0,0,0
112,211,9,0,9
112,212,0,0,0
113,178,22,0,22
113,212,0,0,0
114,151,24,0,24
114,43,0,0,0
115,125,39,0,39
115,18,55,0,55
115,212,0,0,0
115,47,12,0,12
115,77,30,0,30
115,80,20,0,20
115,81,26,0,26
115,84,82,0,82
116,135,49,0,49
117,120,26,0,26
117,174,23,0,23
118,127,10,0,10
118,159,9,0,9
119,133,17,0,17
119,141,0,0,0
119,153,14,0,14
119,44,0,0,0
12,127,16,0,16
12,200,0,0,0
120,145,19,0,19
120,149,7,0,7
120,2,22,0,22
120,24,40,0,40
120,4,28,0,28
120,41,34,0,34
120,42,28,0,28
120,50,23,0,23
120,53,15,0,15
120,61,19,0,19
120,68,28,0,28
120,74,23,0,23
120,82,21,0,21
121,142,27,0,27
121,20,18,0,18
121,201,2,0,2
121,37,26,0,26
121,49,19,0,19
121,67,17,0,17
121,75,25,0,25
122,159,28,0,28
122,194,4,0,4
123,200,0,0,0
123,202,0,0,0
123,210,0,0,0
123,211,10,0,10
124,214,6,0,6
125,58,0,0,0
126,160,100,0,100
126,165,26,0,26
126,17,0,0,0
126,63,0,0,0
127,138,12,0,12
127,143,15,0,15
127,172,18,0,18
127,176,22,0,22
127,182,4,0,4
127,186,8,0,8
127,189,11,0,11
127,191,2,0,2
127,195,7,0,7
127,2,16,0,16
127,20,12,0,12
127,21,11,0,11
127,28,21,0,21
127,3,13,0,13
127,37,10,0,10
127,40,20,0,20
127,43,19,0,19
127,48,15,0,15
127,51,14,0,14
127,66,6,0,6
127,70,9,0,9
127,71,11,0,11
127,73,12,0,12
127,91,9,0,9
127,95,18,0,18
128,176,252,0,252
128,207,0,0,0
128,62,6,0,6
129,183,20,0,20
129,200,0,0,0
129,57,0,0,0
129,93,0,0,0
13,137,0,0,0
13,142,0,0,0
13,161,0,0,0
13,212,0,0,0
13,62,0,0,0
13,71,0,0,0
13,72,0,0,0
130,151,21,0,21
130,16,0,0,0
130,74,0,0,0
130,81,0,0,0
130,9,0,0,0
130,95,0,0,0
131,187,13,0,13
131,215,0,0,0
131,79,0,0,0
132,200,0,0,0
132,212,0,0,0
133,197,8,0,8
133,206,12,0,12
133,22,21,0,21
133,80,35,0,35
133,91,7,0,7
134,165,8,0,8
134,200,0,0,0
135,98,15,0,15
136,150,48,0,48
136,16,19,0,19
136,25,26,0,26
136,29,19,0,19
137,142,0,0,0
137,150,26,0,26
137,161,0,0,0
137,62,0,0,0
137,71,0,0,0
137,72,0,0,0
138,159,20,0,20
139,197,4,0,4
139,3,19,0,19
139,64,20,0,20
139,87,26,0,26
14,176,15,0,15
14,205,0,0,0
140,157,27,0,27
140,192,121,0,121
140,202,2,0,2
141,153,43,0,43
141,215,0,0,0
141,44,0,0,0
142,161,0,0,0
142,62,0,0,0
142,71,0,0,0
142,72,0,0,0
143,166,17,0,17
143,206,1,0,1
144,171,83,0,83
144,173,6,0,6
144,21,10,0,10
145,149,27,0,27
145,173,14,0,14
145,96,26,0,26
146,149,10,0,10
146,201,2,0,2
147,164,37,0,37
147,187,67,0,67
147,6,12,0,12
149,86,24,0,24
15,183,0,0,0
15,212,0,0,0
15,23,0,0,0
15,27,0,0,0
15,28,0,0,0
15,38,0,0,0
15,39,0,0,0
15,49,0,0,0
15,55,0,0,0
15,56,0,0,0
15,59,0,0,0
15,69,0,0,0
15,73,0,0,0
15,88,0,0,0
150,203,15,0,15
150,60,22,0,22
152,190,432,0,432
152,210,31,0,31
152,211,158,0,158
153,44,60,0,60
153,8,33,0,33
153,89,15,0,15
154,168,52,0,52
154,170,56,0,56
155,158,101,0,101
155,189,20,0,20
155,201,7,0,7
155,33,25,0,25
155,38,26,0,26
155,5,14,0,14
155,79,21,0,21
156,165,479,0,479
156,199,311,0,311
157,176,22,0,22
158,195,13,0,13
158,213,0,0,0
159,179,86,0,86
159,96,21,0,21
16,74,0,0,0
16,81,0,0,0
16,9,0,0,0
16,95,0,0,0
160,162,104,0,104
161,215,0,0,0
161,62,0,0,0
161,71,0,0,0
161,72,0,0,0
162,188,19,0,19
163,174,35,0,35
164,174,24,0,24
165,17,22,0,22
165,34,13,0,13
165,36,5,0,5
165,63,14,0,14
165,65,21,0,21
165,92,18,0,18
165,99,10,0,10
166,205,0,0,0
166,212,0,0,0
166,35,34,0,34
167,171,27,0,27
167,192,90,0,90
167,32,24,0,24
167,41,25,0,25
167,85,27,0,27
168,175,11,0,11
169,171,13,0,13
169,5,9,0,9
17,208,0,0,0
17,63,0,0,0
170,178,48,0,48
171,183,353,0,353
172,178,12,0,12
175,212,0,0,0
175,72,0,0,0
176,198,12,0,12
176,210,15,0,15
176,50,29,0,29
176,55,16,0,16
176,59,19,0,19
176,63,15,0,15
176,97,9,0,9
177,209,28,0,28
177,25,30,0,30
177,27,20,0,20
177,7,13,0,13
179,194,107,0,107
179,40,25,0,25
180,188,4,0,4
180,213,0,0,0
181,184,5,0,5
181,199,167,0,167
181,215,0,0,0
182,215,0,0,0
183,196,5,0,5
183,23,0,0,0
183,26,19,0,19
183,27,0,0,0
183,28,0,0,0
183,29,10,0,10
183,35,30,0,30
183,38,0,0,0
183,39,0,0,0
183,45,21,0,21
183,46,22,0,22
183,49,0,0,0
183,55,0,0,0
183,56,0,0,0
183,57,24,0,24
183,59,0,0,0
183,68,19,0,19
183,69,0,0,0
183,73,0,0,0
183,78,38,0,38
183,85,9,0,9
183,88,0,0,0
183,93,24,0,24
184,200,0,0,0
185,190,15,0,15
185,215,0,0,0
185,45,0,0,0
186,193,9,0,9
187,196,22,0,22
187,79,35,0,35
187,89,31,0,31
188,6,1,0,1
188,83,0,0,0
188,92,0,0,0
19,208,0,0,0
19,209,16,0,16
19,90,0,0,0
190,30,5,0,5
190,45,5,0,5
190,54,8,0,8
190,58,21,0,21
190,90,10,0,10
191,194,4,0,4
193,204,15,0,15
193,46,3,0,3
194,76,34,0,34
194,98,6,0,6
196,26,0,0,0
196,46,0,0,0
196,89,0,0,0
198,205,0,0,0
2,71,0,0,0
200,207,0,0,0
200,210,0,0,0
200,211,0,0,0
200,212,0,0,0
200,31,0,0,0
200,34,0,0,0
200,42,0,0,0
200,52,0,0,0
200,64,0,0,0
200,77,0,0,0
200,86,0,0,0
200,88,0,0,0
201,204,1,0,1
202,52,0,0,0
202,75,1,0,1
203,39,3,0,3
203,56,2,0,2
203,83,4,0,4
204,213,0,0,0
207,24,0,0,0
207,26,0,0,0
207,36,0,0,0
207,53,0,0,0
207,57,0,0,0
207,66,0,0,0
207,8,0,0,0
208,209,0,0,0
208,4,0,0,0
209,25,2,0,2
209,27,2,0,2
210,211,2,0,2
212,30,0,0,0
212,31,0,0,0
212,32,0,0,0
212,33,0,0,0
212,51,0,0,0
212,60,0,0,0
212,65,0,0,0
212,67,0,0,0
212,69,0,0,0
212,7,0,0,0
212,72,0,0,0
212,82,0,0,0
212,93,0,0,0
212,99,0,0,0
213,61,0,0,0
213,97,0,0,0
215,48,0,0,0
215,54,0,0,0
215,70,0,0,0
215,87,0,0,0
23,27,0,0,0
23,28,0,0,0
23,38,0,0,0
23,39,0,0,0
23,47,0,0,0
23,49,0,0,0
23,55,0,0,0
23,56,0,0,0
23,59,0,0,0
23,69,0,0,0
23,73,0,0,0
23,88,0,0,0
25,27,1,0,1
26,46,0,0,0
27,28,0,0,0
27,38,0,0,0
27,39,0,0,0
27,49,0,0,0
27,55,0,0,0
27,56,0,0,0
