contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
1,0,1,chromosome,210745,210745,0,0,chromosome
2,0,1,chromosome,168068,168068,0,0,chromosome
3,0,0,unlabeled,153915,0,0,153915,unlabeled
4,0,1,chromosome,134252,134252,0,0,chromosome
5,0,1,chromosome,124164,124164,0,0,chromosome
6,0,1,chromosome,123223,123223,0,0,chromosome
7,0,0,unlabeled,86007,0,0,86007,unlabeled
8,0,0,unlabeled,81624,0,0,81624,unlabeled
9,0,0,unlabeled,80352,0,0,80352,unlabeled
10,0,0,unlabeled,72391,0,0,72391,unlabeled
11,0,0,unlabeled,71665,0,0,71665,unlabeled
12,0,0,unlabeled,69059,0,0,69059,unlabeled
13,0,0,unlabeled,63195,0,0,63195,unlabeled
14,0,0,unlabeled,59418,0,0,59418,unlabeled
15,0,0,unlabeled,50007,0,0,50007,unlabeled
16,0,0,unlabeled,48128,0,0,48128,unlabeled
17,0,0,unlabeled,45477,0,0,45477,unlabeled
18,0,0,unlabeled,44942,0,0,44942,unlabeled
19,0,0,unlabeled,42407,0,0,42407,unlabeled
20,0,0,unlabeled,42033,0,0,42033,unlabeled
21,0,0,unlabeled,40146,0,0,40146,unlabeled
22,0,0,unlabeled,39009,0,0,39009,unlabeled
23,0,0,unlabeled,37520,0,0,37520,unlabeled
24,0,0,unlabeled,37093,0,0,37093,unlabeled
25,0,0,unlabeled,35353,0,0,35353,unlabeled
26,0,0,unlabeled,34194,0,0,34194,unlabeled
27,0,0,unlabeled,33404,0,0,33404,unlabeled
28,0,0,unlabeled,31537,0,0,31537,unlabeled
29,0,0,unlabeled,30950,0,0,30950,unlabeled
30,0,0,unlabeled,26601,0,0,26601,unlabeled
31,0,0,unlabeled,25486,0,0,25486,unlabeled
32,0,0,unlabeled,22939,0,0,22939,unlabeled
33,0,0,unlabeled,22938,0,0,22938,unlabeled
34,0,0,unlabeled,22434,0,0,22434,unlabeled
35,0,0,unlabeled,21630,0,0,21630,unlabeled
36,0,0,unlabeled,21248,0,0,21248,unlabeled
37,1,0,plasmid,20783,0,20783,0,plasmid
38,0,0,unlabeled,20668,0,0,20668,unlabeled
39,0,0,unlabeled,19622,0,0,19622,unlabeled
40,0,0,unlabeled,18385,0,0,18385,unlabeled
41,1,0,plasmid,17874,0,17874,0,plasmid
42,0,0,unlabeled,17296,0,0,17296,unlabeled
43,0,0,unlabeled,17186,0,0,17186,unlabeled
44,1,0,plasmid,16824,0,16824,0,plasmid
45,0,0,unlabeled,16703,0,0,16703,unlabeled
46,0,0,unlabeled,16364,0,0,16364,unlabeled
47,0,0,unlabeled,15902,0,0,15902,unlabeled
48,0,0,unlabeled,15578,0,0,15578,unlabeled
49,0,0,unlabeled,14724,0,0,14724,unlabeled
50,0,0,unlabeled,13811,0,0,13811,unlabeled
51,0,0,unlabeled,13799,0,0,13799,unlabeled
52,1,0,plasmid,10903,0,10903,0,plasmid
53,1,0,plasmid,10517,0,10517,0,plasmid
54,0,0,unlabeled,10261,0,0,10261,unlabeled
55,0,0,unlabeled,9911,0,0,9911,unlabeled
56,0,0,unlabeled,9902,0,0,9902,unlabeled
57,0,0,unlabeled,9890,0,0,9890,unlabeled
58,0,0,unlabeled,9433,0,0,9433,unlabeled
59,1,0,plasmid,9344,0,9344,0,plasmid
60,1,0,plasmid,9312,0,9312,0,plasmid
61,0,0,unlabeled,8867,0,0,8867,unlabeled
62,0,0,unlabeled,8861,0,0,8861,unlabeled
63,0,0,unlabeled,8502,0,0,8502,unlabeled
64,0,0,unlabeled,7883,0,0,7883,unlabeled
65,0,0,unlabeled,7766,0,0,7766,unlabeled
66,0,0,unlabeled,7689,0,0,7689,unlabeled
67,0,0,unlabeled,7449,0,0,7449,unlabeled
68,0,0,unlabeled,7160,0,0,7160,unlabeled
69,0,0,unlabeled,6883,0,0,6883,unlabeled
70,0,0,unlabeled,6725,0,0,6725,unlabeled
71,1,0,plasmid,6646,0,6646,0,plasmid
72,0,0,unlabeled,6624,0,0,6624,unlabeled
73,0,0,unlabeled,6116,0,0,6116,unlabeled
74,1,0,plasmid,6032,0,6032,0,plasmid
75,1,0,plasmid,5275,0,5275,0,plasmid
76,1,0,plasmid,5014,0,5014,0,plasmid
77,1,0,plasmid,4931,0,4931,0,plasmid
78,1,0,plasmid,4766,0,4766,0,plasmid
79,0,0,unlabeled,4525,0,0,4525,unlabeled
80,1,0,plasmid,4427,0,4427,0,plasmid
81,1,0,plasmid,4423,0,4423,0,plasmid
82,0,0,unlabeled,4280,0,0,4280,unlabeled
83,0,0,unlabeled,3818,0,0,3818,unlabeled
84,1,0,plasmid,3745,0,3745,0,plasmid
85,1,0,plasmid,3221,0,3221,0,plasmid
86,0,0,unlabeled,3136,0,0,3136,unlabeled
87,1,0,plasmid,3051,0,3051,0,plasmid
88,1,0,plasmid,2947,0,2947,0,plasmid
89,1,0,plasmid,2775,0,2775,0,plasmid
90,0,0,unlabeled,2488,0,0,2488,unlabeled
91,0,0,unlabeled,2407,0,0,2407,unlabeled
92,1,0,plasmid,2316,0,2316,0,plasmid
93,1,0,plasmid,2029,0,2029,0,plasmid
94,1,0,plasmid,1935,0,1935,0,plasmid
95,1,0,plasmid,1932,0,1932,0,plasmid
96,1,0,plasmid,1903,0,1903,0,plasmid
97,0,0,unlabeled,1896,0,0,1896,unlabeled
98,0,0,unlabeled,1794,0,0,1794,unlabeled
99,0,0,unlabeled,1679,0,0,1679,unlabeled
100,0,0,unlabeled,1652,0,0,1652,unlabeled
101,0,0,unlabeled,1591,0,0,1591,unlabeled
102,0,0,unlabeled,1572,0,0,1572,unlabeled
103,1,0,plasmid,1514,0,1514,0,plasmid
