contig_u,contig_v,short_pair_count,long_read_count,total_support
1,128,0,0,0
1,15,0,0,0
1,154,0,0,0
1,16,0,0,0
1,17,0,0,0
1,171,15,0,15
1,25,0,0,0
1,26,0,0,0
1,33,0,0,0
1,35,0,0,0
1,4,0,0,0
1,63,0,0,0
1,76,0,0,0
10,102,0,0,0
10,11,0,0,0
10,111,0,0,0
10,119,0,0,0
10,123,63,15,78
10,30,0,0,0
10,40,0,0,0
10,52,0,0,0
10,67,0,0,0
10,98,0,0,0
100,102,0,0,0
100,11,0,0,0
100,130,0,0,0
100,15,0,0,0
100,162,0,0,0
100,19,0,0,0
100,22,0,0,0
100,27,0,0,0
100,42,0,0,0
100,60,0,0,0
100,73,0,0,0
100,93,0,0,0
101,13,0,0,0
101,171,13,0,13
101,31,0,0,0
101,44,0,0,0
101,49,0,0,0
101,57,0,0,0
101,70,0,0,0
101,82,0,0,0
102,11,0,0,0
102,130,0,0,0
102,15,0,0,0
102,19,0,0,0
102,22,0,0,0
102,27,0,0,0
102,40,0,0,0
102,42,0,0,0
102,52,0,0,0
102,60,0,0,0
102,67,0,0,0
102,73,0,0,0
102,93,0,0,0
102,98,0,0,0
103,122,0,0,0
103,123,53,3,56
103,130,0,0,0
103,135,0,0,0
103,139,0,0,0
103,151,31,0,31
103,3,0,0,0
103,67,0,0,0
103,75,0,0,0
103,83,0,0,0
103,87,0,0,0
103,92,0,0,0
104,177,0,0,0
104,182,0,0,0
104,97,0,0,0
105,156,115,0,115
105,170,0,0,0
107,136,44,0,44
107,137,187,0,187
107,182,0,0,0
107,5,31,0,31
108,119,0,0,0
108,120,51,0,51
108,169,13,1,14
108,38,0,0,0
108,46,0,0,0
108,5,0,0,0
108,55,0,0,0
108,56,0,0,0
108,72,0,0,0
108,85,0,0,0
108,89,0,0,0
11,111,0,0,0
11,119,0,0,0
11,123,55,9,64
11,130,0,0,0
11,15,0,0,0
11,19,0,0,0
11,22,0,0,0
11,27,0,0,0
11,30,0,0,0
11,42,0,0,0
11,60,0,0,0
11,73,0,0,0
11,93,0,0,0
110,161,68,0,68
110,163,84,0,84
110,183,152,21,173
110,58,37,17,54
110,91,48,16,64
110,99,351,101,452
111,119,0,0,0
111,123,67,1,68
111,174,8,0,8
111,30,0,0,0
112,143,12,0,12
112,177,0,0,0
112,178,0,0,0
112,28,0,0,0
113,176,2,0,2
114,151,50,1,51
114,163,18,0,18
114,183,92,0,92
114,77,323,1,324
115,132,109,0,109
115,133,269,0,269
115,157,20,1,21
115,169,174,39,213
115,39,57,10,67
115,53,54,14,68
115,9,54,15,69
116,12,36,0,36
116,32,46,0,46
116,69,217,0,217
116,71,256,0,256
116,87,34,0,34
116,98,46,0,46
117,120,39,0,39
117,171,15,0,15
117,2,0,0,0
117,74,0,0,0
117,81,0,0,0
118,120,79,1,80
118,178,0,0,0
119,123,246,62,308
119,169,174,152,326
119,30,0,0,0
119,38,0,0,0
119,46,0,0,0
119,47,141,1,142
119,5,0,0,0
119,55,0,0,0
119,56,0,0,0
119,72,0,0,0
119,85,0,0,0
119,89,0,5,5
120,124,36,0,36
120,126,40,0,40
120,128,51,1,52
120,16,53,0,53
120,179,22,1,23
120,27,39,0,39
120,31,32,0,32
120,32,38,0,38
120,34,45,0,45
120,41,55,0,55
120,47,121,1,122
120,48,31,0,31
120,60,44,0,44
120,62,53,0,53
120,64,37,0,37
120,65,37,0,37
120,68,29,0,29
120,69,234,0,234
120,77,249,1,250
120,80,41,0,41
120,81,48,0,48
121,142,383,76,459
122,123,62,22,84
122,130,0,0,0
122,135,0,0,0
122,139,0,0,0
122,169,10,1,11
122,3,0,0,0
122,37,0,0,0
122,67,0,0,0
122,75,0,0,0
122,8,0,0,0
122,83,0,0,0
122,87,0,0,0
122,92,0,0,0
122,94,0,0,0
123,130,59,0,59
123,135,320,9,329
123,139,52,5,57
123,169,478,33,511
123,3,58,10,68
123,30,58,0,58
123,67,51,0,51
123,75,58,13,71
123,79,58,10,68
123,83,45,8,53
123,87,58,4,62
