contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
1,0,1,chromosome,284876,284876,0,0,chromosome
2,0,1,chromosome,185633,185633,0,0,chromosome
3,0,1,chromosome,168192,168192,0,0,chromosome
4,0,1,chromosome,159897,159897,0,0,chromosome
5,0,1,chromosome,153378,153378,0,0,chromosome
6,0,1,chromosome,141040,141040,0,0,chromosome
7,0,1,chromosome,138575,138575,0,0,chromosome
8,0,1,chromosome,125845,125845,0,0,chromosome
9,0,1,chromosome,113545,113545,0,0,chromosome
10,0,1,chromosome,113273,113273,0,0,chromosome
11,0,1,chromosome,108228,108228,0,0,chromosome
12,0,1,chromosome,102256,102256,0,0,chromosome
13,0,1,chromosome,98447,98447,0,0,chromosome
14,0,1,chromosome,96368,96368,0,0,chromosome
15,0,1,chromosome,93165,93165,0,0,chromosome
16,0,1,chromosome,92858,92858,0,0,chromosome
17,0,1,chromosome,92306,92306,0,0,chromosome
18,0,1,chromosome,87965,87965,0,0,chromosome
19,0,1,chromosome,84976,84976,0,0,chromosome
20,0,1,chromosome,81987,81987,0,0,chromosome
21,0,1,chromosome,81481,81481,0,0,chromosome
22,0,1,chromosome,77295,77295,0,0,chromosome
23,0,1,chromosome,74057,74057,0,0,chromosome
24,0,1,chromosome,66982,66982,0,0,chromosome
25,0,1,chromosome,64130,64130,0,0,chromosome
26,0,1,chromosome,63864,63864,0,0,chromosome
27,0,1,chromosome,62935,62935,0,0,chromosome
28,0,1,chromosome,62748,62748,0,0,chromosome
29,0,1,chromosome,62389,62389,0,0,chromosome
30,0,1,chromosome,62029,62029,0,0,chromosome
31,0,1,chromosome,59652,59652,0,0,chromosome
32,0,1,chromosome,59463,59463,0,0,chromosome
33,0,1,chromosome,51319,51319,0,0,chromosome
34,0,1,chromosome,48024,48024,0,0,chromosome
35,0,1,chromosome,42203,42203,0,0,chromosome
36,0,1,chromosome,35915,35915,0,0,chromosome
37,0,1,chromosome,35748,35748,0,0,chromosome
38,0,1,chromosome,35313,35313,0,0,chromosome
39,0,1,chromosome,34019,34019,0,0,chromosome
40,0,1,chromosome,32445,32445,0,0,chromosome
41,0,1,chromosome,31009,31009,0,0,chromosome
42,0,1,chromosome,30941,30941,0,0,chromosome
43,0,1,chromosome,30661,30661,0,0,chromosome
44,0,1,chromosome,29780,29780,0,0,chromosome
45,0,1,chromosome,28915,28915,0,0,chromosome
46,0,1,chromosome,28885,28885,0,0,chromosome
47,0,0,unlabeled,28074,0,0,28074,unlabeled
48,0,1,chromosome,27538,27538,0,0,chromosome
49,0,1,chromosome,27087,27087,0,0,chromosome
50,0,1,chromosome,26042,26042,0,0,chromosome
51,0,1,chromosome,25400,25400,0,0,chromosome
52,0,1,chromosome,23784,23784,0,0,chromosome
