contig_u,contig_v,short_pair_count,long_read_count,total_support
1,109,18,13,31
1,162,1,0,1
10,109,27,16,43
10,36,59,0,59
10,74,0,0,0
100,12,37,0,37
100,132,9,0,9
100,134,30,0,30
100,41,26,0,26
100,77,65,0,65
101,38,23,0,23
101,42,29,0,29
101,48,22,0,22
101,49,25,0,25
102,70,25,0,25
102,94,11,0,11
103,70,17,0,17
103,94,13,0,13
104,144,1,0,1
104,147,3,0,3
105,146,0,0,0
105,160,0,0,0
105,19,14,3,17
106,80,23,0,23
106,81,17,0,17
106,91,24,0,24
107,125,9,0,9
107,85,2,0,2
108,125,4,0,4
108,85,9,0,9
109,154,13,0,13
109,74,34,0,34
11,154,17,0,17
110,142,24,1,25
110,27,73,0,73
111,130,4,0,4
111,70,6,0,6
112,130,4,0,4
112,70,15,0,15
113,118,12,0,12
113,51,19,0,19
113,62,30,0,30
114,133,35,8,43
114,24,32,1,33
114,25,18,0,18
115,55,7,0,7
115,56,11,0,11
115,80,10,0,10
115,81,6,0,6
116,148,1,0,1
116,79,8,0,8
117,138,0,0,0
117,92,0,0,0
118,128,4,0,4
119,51,16,0,16
119,73,9,0,9
119,79,23,0,23
12,36,38,1,39
120,126,25,0,25
120,86,35,5,40
121,13,12,0,12
121,146,0,0,0
121,69,36,0,36
121,7,19,0,19
122,79,67,5,72
122,98,51,83,134
123,47,11,0,11
123,82,3,0,3
124,40,14,0,14
124,57,26,0,26
124,71,15,0,15
125,133,19,5,24
126,145,5,0,5
127,66,10,0,10
128,148,6,0,6
128,68,13,0,13
128,73,7,0,7
129,139,18,0,18
129,48,24,0,24
129,49,14,0,14
13,89,30,0,30
130,64,13,0,13
130,65,11,0,11
131,137,44,0,44
131,76,125,174,299
132,134,0,0,0
132,141,2,0,2
132,41,2,0,2
134,141,7,0,7
134,41,2,0,2
135,18,29,22,51
135,75,31,14,45
135,78,32,0,32
135,9,20,1,21
136,153,3,0,3
136,93,19,0,19
137,72,0,0,0
138,18,0,0,0
139,64,19,0,19
139,65,17,0,17
14,30,0,4,4
140,50,0,0,0
140,67,0,0,0
140,97,0,0,0
141,83,9,0,9
142,55,11,0,11
142,56,10,0,10
143,31,14,0,14
143,61,9,0,9
143,63,9,0,9
143,68,5,0,5
144,151,0,0,0
144,155,0,0,0
144,156,0,0,0
144,50,19,0,19
145,86,20,0,20
146,160,0,0,0
146,19,0,0,0
146,5,2,0,2
147,151,0,0,0
147,159,0,0,0
147,83,10,1,11
148,2,7,0,7
148,46,12,0,12
149,167,0,0,0
149,58,13,0,13
149,61,10,0,10
149,63,11,0,11
15,161,6,0,6
15,32,44,1,45
150,22,25,0,25
150,44,30,1,31
151,159,0,0,0
152,6,0,0,0
152,92,0,0,0
154,16,23,0,23
155,156,0,0,0
157,31,0,0,0
157,82,0,0,0
158,52,209,41,250
159,41,0,0,0
159,54,0,0,0
16,3,0,33,33
160,19,0,0,0
161,44,14,0,14
162,163,0,0,0
162,165,0,0,0
162,33,1,1,2
163,165,0,0,0
163,33,0,0,0
164,166,0,0,0
164,2,1,0,1
164,84,0,0,0
164,99,0,1,1
165,33,0,0,0
166,77,10,0,10
166,99,0,0,0
167,62,2,0,2
18,78,0,2,2
19,36,46,0,46
20,4,0,1,1
20,45,54,0,54
21,34,75,195,270
21,45,55,0,55
22,32,52,1,53
23,67,1,1,2
23,94,29,0,29
24,60,48,0,48
25,60,31,0,31
26,89,24,0,24
26,94,29,0,29
27,35,91,0,91
28,96,1108,0,1108
29,96,1076,0,1076
30,45,36,0,36
32,74,46,0,46
32,8,57,0,57
35,5,37,0,37
35,8,54,0,54
36,4,52,0,52
38,90,4,0,4
39,52,380,794,1174
40,95,39,0,39
42,95,35,0,35
45,9,41,0,41
46,63,39,0,39
53,6,51,0,51
53,7,42,0,42
53,85,90,7,97
54,59,20,0,20
57,60,86,0,86
58,97,4,0,4
61,63,0,0,0
62,88,25,0,25
66,91,15,0,15
67,97,1,0,1
71,95,28,0,28
75,78,3,1,4
77,99,14,9,23
84,91,9,0,9
87,93,38,0,38
90,95,12,0,12
