contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
1,0,1,chromosome,1301275,1301275,0,0,chromosome
2,0,1,chromosome,548687,548687,0,0,chromosome
3,0,1,chromosome,469225,469225,0,0,chromosome
4,0,1,chromosome,416966,416966,0,0,chromosome
5,0,1,chromosome,280843,280843,0,0,chromosome
6,0,1,chromosome,249336,249336,0,0,chromosome
7,0,1,chromosome,213235,213235,0,0,chromosome
8,0,1,chromosome,162598,162598,0,0,chromosome
9,0,1,chromosome,151518,151518,0,0,chromosome
10,0,1,chromosome,148562,148562,0,0,chromosome
11,0,1,chromosome,142395,142395,0,0,chromosome
12,0,1,chromosome,108711,108711,0,0,chromosome
13,1,0,plasmid,96722,0,96722,0,plasmid
14,0,1,chromosome,92403,92403,0,0,chromosome
15,0,1,chromosome,71106,71106,0,0,chromosome
16,0,0,unlabeled,42448,852,0,41596,unlabeled
17,0,1,chromosome,29926,29926,0,0,chromosome
18,0,1,chromosome,28603,28603,0,0,chromosome
19,0,1,chromosome,26080,26080,0,0,chromosome
20,0,1,chromosome,25530,25530,0,0,chromosome
21,0,1,chromosome,7767,7767,0,0,chromosome
22,0,1,chromosome,4132,4132,0,0,chromosome
23,0,0,unlabeled,3318,0,0,3318,unlabeled
24,0,1,chromosome,2393,2393,0,0,chromosome
25,0,1,chromosome,1462,1462,0,0,chromosome
26,0,1,chromosome,1271,1271,0,0,chromosome
27,0,1,chromosome,1228,1228,0,0,chromosome
28,0,1,chromosome,907,907,0,0,chromosome
29,0,1,chromosome,726,726,0,0,chromosome
30,0,1,chromosome,671,671,0,0,chromosome
31,0,1,chromosome,550,550,0,0,chromosome
32,0,1,chromosome,494,494,0,0,chromosome
33,0,1,chromosome,418,418,0,0,chromosome
34,0,1,chromosome,304,304,0,0,chromosome
35,0,1,chromosome,294,294,0,0,chromosome
36,0,1,chromosome,292,292,0,0,chromosome
37,0,1,chromosome,288,288,0,0,chromosome
38,0,1,chromosome,283,283,0,0,chromosome
39,0,1,chromosome,273,273,0,0,chromosome
40,0,1,chromosome,257,257,0,0,chromosome
41,0,1,chromosome,244,244,0,0,chromosome
42,0,1,chromosome,236,236,0,0,chromosome
43,0,1,chromosome,233,233,0,0,chromosome
44,0,1,chromosome,224,224,0,0,chromosome
45,0,1,chromosome,212,212,0,0,chromosome
46,0,0,unlabeled,188,0,0,188,unlabeled
47,0,0,unlabeled,183,0,0,183,unlabeled
48,0,0,unlabeled,180,0,0,180,unlabeled
49,0,0,unlabeled,177,0,0,177,unlabeled
50,0,0,unlabeled,174,0,0,174,unlabeled
51,0,0,unlabeled,152,0,0,152,unlabeled
52,0,0,unlabeled,151,0,0,151,unlabeled
53,0,0,unlabeled,146,0,0,146,unlabeled
54,0,0,unlabeled,144,0,0,144,unlabeled
55,0,0,unlabeled,136,0,0,136,unlabeled
56,0,0,unlabeled,125,0,0,125,unlabeled
57,0,0,unlabeled,118,0,0,118,unlabeled
58,0,0,unlabeled,108,0,0,108,unlabeled
59,0,0,unlabeled,105,0,0,105,unlabeled
