contig_u,contig_v,short_pair_count,long_read_count,total_support
1,104,21,0,21
1,159,16,0,16
10,149,0,0,0
10,18,0,0,0
10,27,0,0,0
10,45,0,0,0
10,55,0,0,0
10,64,0,0,0
10,66,0,0,0
10,78,0,0,0
100,106,85,0,85
100,168,69,0,69
101,138,14,0,14
101,139,29,0,29
101,81,56,0,56
101,82,22,0,22
102,116,15,0,15
102,123,0,1,1
102,176,1,0,1
102,85,0,0,0
103,146,30,0,30
103,75,1374,363,1737
103,84,20,0,20
103,97,52,0,52
104,140,30,0,30
104,141,184,0,184
104,23,25,0,25
104,3,21,0,21
104,4,30,0,30
104,40,32,0,32
104,49,22,0,22
104,9,27,0,27
105,119,93,0,93
105,164,25,1,26
106,111,25,0,25
106,81,53,0,53
106,82,25,0,25
107,116,32,0,32
107,154,8,0,8
108,156,10,0,10
108,157,12,0,12
109,131,9,0,9
109,161,11,0,11
109,54,31,0,31
109,77,24,0,24
11,16,0,18,18
11,94,38,0,38
110,145,252,6,258
111,79,2,0,2
112,115,31,0,31
112,143,20,0,20
112,72,27,0,27
112,80,22,0,22
113,122,27,0,27
113,172,16,0,16
114,133,342,30,372
114,182,92,0,92
115,150,23,0,23
116,51,68,0,68
116,86,68,0,68
117,156,8,0,8
117,157,8,0,8
118,156,11,0,11
118,157,7,0,7
119,70,27,0,27
119,86,73,0,73
119,96,27,0,27
12,123,19,8,27
12,141,0,0,0
12,15,0,0,0
12,64,0,0,0
12,68,26,0,26
12,8,0,0,0
12,92,0,0,0
120,126,19,0,19
120,175,4,0,4
121,135,105,9,114
121,147,145,20,165
121,178,20,0,20
121,99,228,0,228
122,13,25,0,25
122,134,22,0,22
122,173,126,0,126
122,19,33,0,33
122,28,31,0,31
122,29,24,0,24
122,32,29,0,29
122,33,24,0,24
122,34,21,0,21
122,37,32,0,32
122,41,23,0,23
122,49,29,0,29
122,5,27,1,28
122,67,31,0,31
122,88,34,0,34
122,90,71,0,71
123,141,20,0,20
123,15,30,0,30
123,173,76,0,76
123,176,0,0,0
123,64,28,3,31
123,8,24,0,24
123,85,27,5,32
123,92,22,8,30
124,131,6,0,6
124,171,0,0,0
125,179,3,0,3
125,180,7,0,7
125,46,33,0,33
125,47,29,0,29
126,153,94,18,112
126,3,26,0,26
126,83,24,3,27
127,141,18,0,18
127,91,23,0,23
128,146,8,0,8
128,160,12,0,12
129,175,39,0,39
129,20,36,0,36
129,30,41,1,42
129,33,17,0,17
129,38,24,0,24
129,44,17,0,17
129,5,27,0,27
129,85,24,0,24
129,89,21,0,21
130,133,171,0,171
130,137,293,23,316
132,142,74,1,75
132,161,57,3,60
132,45,0,0,0
134,141,27,0,27
135,147,0,0,0
135,148,51,13,64
135,178,0,0,0
136,171,0,0,0
136,71,10,0,10
138,172,12,0,12
139,172,14,0,14
14,141,31,0,31
14,35,0,0,0
14,77,0,0,0
140,144,16,0,16
140,169,6,0,6
140,170,8,0,8
141,144,26,0,26
141,149,18,0,18
141,15,0,0,0
141,17,26,0,26
141,4,16,0,16
141,48,28,0,28
141,61,32,0,32
141,64,0,0,0
141,8,0,0,0
141,92,0,0,0
142,158,0,3,3
142,177,18,0,18
142,36,28,0,28
142,45,34,0,34
142,7,0,0,0
142,95,22,2,24
143,150,6,0,6
144,42,23,0,23
144,56,13,0,13
145,148,98,0,98
146,63,10,0,10
147,148,78,26,104
147,178,0,0,0
148,178,10,0,10
149,18,0,0,0
149,27,0,0,0
149,45,0,0,0
149,55,0,0,0
149,64,0,0,0
149,66,0,0,0
149,78,0,0,0
15,64,0,0,0
15,8,0,0,0
15,92,0,0,0
150,58,16,0,16
150,62,22,0,22
151,168,25,0,25
151,95,6,0,6
152,68,34,3,37
152,69,19,0,19
152,76,13,0,13
153,91,115,29,144
154,165,0,0,0
154,177,10,0,10
155,173,52,0,52
155,95,25,0,25
156,61,10,0,10
157,19,7,0,7
158,168,0,0,0
158,174,0,0,0
158,177,0,0,0
159,24,15,0,15
159,99,34,4,38
16,181,4,0,4
160,168,44,2,46
160,32,11,0,11
160,44,10,0,10
160,54,6,0,6
160,74,32,0,32
160,84,11,0,11
161,176,0,0,0
162,166,14,0,14
162,179,0,0,0
162,180,1,0,1
163,23,21,0,21
163,31,9,0,9
163,46,14,0,14
163,99,50,0,50
164,57,10,0,10
164,70,15,0,15
165,174,0,0,0
165,50,0,0,0
165,51,0,0,0
165,57,0,0,0
166,21,16,0,16
166,9,23,0,23
167,71,0,0,0
167,96,0,0,0
169,170,0,0,0
169,91,19,0,19
17,181,0,0,0
170,91,19,0,19
172,90,31,0,31
173,175,4,0,4
176,85,0,0,0
18,27,0,0,0
18,45,0,0,0
18,55,0,0,0
18,64,0,0,0
18,66,0,0,0
18,78,0,0,0
18,98,32,0,32
181,47,6,0,6
182,2,60,0,60
182,67,10,0,10
20,94,29,0,29
22,95,22,0,22
23,46,0,0,0
24,38,0,0,0
25,6,0,0,0
25,87,41,2,43
26,88,30,0,30
27,45,0,0,0
27,55,0,0,0
27,64,0,0,0
27,66,0,0,0
27,78,0,0,0
27,95,32,0,32
28,94,21,0,21
29,93,32,0,32
30,98,29,0,29
31,87,44,16,60
35,59,0,0,0
35,77,0,0,0
37,68,32,0,32
39,53,26,0,26
39,6,0,0,0
39,78,0,0,0
39,83,0,0,0
40,53,23,0,23
42,95,32,0,32
45,55,0,0,0
45,64,0,0,0
45,66,0,0,0
45,78,0,0,0
48,94,22,0,22
50,57,0,0,0
50,94,28,0,28
52,98,28,0,28
53,89,29,0,29
53,94,15,0,15
55,64,0,0,0
55,66,0,0,0
55,78,0,0,0
55,95,39,0,39
58,93,26,0,26
59,94,16,0,16
6,78,0,0,0
6,83,0,0,0
62,93,24,0,24
63,69,29,0,29
63,76,18,0,18
64,65,28,0,28
64,66,0,0,0
64,78,0,0,0
64,8,0,0,0
64,89,29,0,29
64,92,0,0,0
65,88,29,0,29
66,78,0,0,0
66,88,21,0,21
7,95,31,4,35
7,98,34,0,34
72,97,18,0,18
74,92,0,0,0
75,84,0,0,0
78,83,0,0,0
79,95,32,0,32
8,92,0,0,0
8,93,44,0,44
80,97,29,0,29
89,94,29,0,29
