contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
1,0,1,chromosome,267970,267970,0,0,chromosome
2,0,1,chromosome,263587,263584,0,3,chromosome
3,0,1,chromosome,255757,255757,0,0,chromosome
4,0,1,chromosome,234351,234351,0,0,chromosome
5,0,1,chromosome,206358,206358,0,0,chromosome
6,0,1,chromosome,197387,197387,0,0,chromosome
7,0,1,chromosome,175848,175848,0,0,chromosome
8,0,1,chromosome,165775,165775,0,0,chromosome
9,0,1,chromosome,164607,164607,0,0,chromosome
10,0,1,chromosome,155731,155731,0,0,chromosome
11,0,1,chromosome,155299,155299,0,0,chromosome
12,0,1,chromosome,136582,136582,0,0,chromosome
13,0,1,chromosome,130086,130086,0,0,chromosome
14,0,1,chromosome,120199,120199,0,0,chromosome
15,0,1,chromosome,115773,115773,0,0,chromosome
16,0,1,chromosome,105421,105421,0,0,chromosome
17,0,1,chromosome,98430,98430,0,0,chromosome
18,0,1,chromosome,95106,95106,0,0,chromosome
19,0,1,chromosome,86388,86388,0,0,chromosome
20,0,1,chromosome,86028,86028,0,0,chromosome
21,0,1,chromosome,85710,85710,0,0,chromosome
22,0,1,chromosome,83160,83160,0,0,chromosome
23,0,1,chromosome,82069,82069,0,0,chromosome
24,0,1,chromosome,81072,81072,0,0,chromosome
25,0,1,chromosome,78171,78171,0,0,chromosome
26,0,1,chromosome,77851,77851,0,0,chromosome
27,0,1,chromosome,69019,69019,0,0,chromosome
28,0,1,chromosome,68121,68121,0,0,chromosome
29,0,1,chromosome,62621,62621,0,0,chromosome
30,0,1,chromosome,58550,58550,0,0,chromosome
31,0,1,chromosome,55174,55174,0,0,chromosome
32,0,1,chromosome,53557,53557,0,0,chromosome
33,0,1,chromosome,53239,53239,0,0,chromosome
34,0,1,chromosome,50916,50916,0,0,chromosome
35,0,1,chromosome,48726,48726,0,0,chromosome
36,0,1,chromosome,48611,48611,0,0,chromosome
37,0,1,chromosome,41459,41459,0,0,chromosome
38,0,1,chromosome,40640,40640,0,0,chromosome
39,0,1,chromosome,40010,40010,0,0,chromosome
40,0,1,chromosome,36769,36769,0,0,chromosome
41,0,1,chromosome,36397,36397,0,0,chromosome
42,0,1,chromosome,34757,34757,0,0,chromosome
43,0,1,chromosome,33971,33971,0,0,chromosome
44,0,1,chromosome,33794,33794,0,0,chromosome
45,0,1,chromosome,30853,30853,0,0,chromosome
46,0,1,chromosome,29053,29053,0,0,chromosome
47,0,1,chromosome,26183,26183,0,0,chromosome
48,0,1,chromosome,26139,26139,0,0,chromosome
49,0,1,chromosome,23133,23133,0,0,chromosome
50,0,1,chromosome,20018,20018,0,0,chromosome
51,1,0,plasmid,15185,0,15185,0,plasmid
52,0,1,chromosome,15002,15002,0,0,chromosome
53,0,1,chromosome,12977,12977,0,0,chromosome
54,0,1,chromosome,12786,12786,0,0,chromosome
55,0,1,chromosome,12399,12399,0,0,chromosome
56,0,1,chromosome,12250,12250,0,0,chromosome
57,1,0,plasmid,12143,0,12143,0,plasmid
58,0,1,chromosome,11612,11612,0,0,chromosome
59,0,1,chromosome,11566,11566,0,0,chromosome
60,0,1,chromosome,10803,10803,0,0,chromosome
61,0,1,chromosome,10508,10508,0,0,chromosome
62,0,1,chromosome,10070,10070,0,0,chromosome
63,0,1,chromosome,9232,9232,0,0,chromosome
64,0,1,chromosome,8956,8956,0,0,chromosome
65,0,1,chromosome,6866,6866,0,0,chromosome
66,0,1,chromosome,6655,6655,0,0,chromosome
67,0,1,chromosome,6635,6635,0,0,chromosome
68,0,1,chromosome,5489,5489,0,0,chromosome
69,0,1,chromosome,5338,5338,0,0,chromosome
70,0,1,chromosome,5291,5291,0,0,chromosome
71,0,1,chromosome,5280,5280,0,0,chromosome
72,0,1,chromosome,5220,5220,0,0,chromosome
73,1,0,plasmid,5215,0,5215,0,plasmid
74,1,0,plasmid,5159,0,5159,0,plasmid
75,1,0,plasmid,4927,0,4927,0,plasmid
76,0,1,chromosome,4319,4319,0,0,chromosome
77,0,1,chromosome,4033,4033,0,0,chromosome
78,0,1,chromosome,3990,3990,0,0,chromosome
79,0,1,chromosome,3925,3925,0,0,chromosome
80,0,1,chromosome,3748,3748,0,0,chromosome
81,1,0,plasmid,3468,0,3468,0,plasmid
82,0,1,chromosome,3463,3463,0,0,chromosome
83,0,1,chromosome,3437,3437,0,0,chromosome
84,0,1,chromosome,3282,3282,0,0,chromosome
85,0,1,chromosome,3056,3056,0,0,chromosome
86,1,0,plasmid,3003,0,3003,0,plasmid
87,0,0,unlabeled,1850,0,0,1850,unlabeled
88,0,1,chromosome,1815,1815,0,0,chromosome
89,1,1,ambiguous,1797,1797,1797,0,ambiguous
90,1,0,plasmid,1793,0,1793,0,plasmid
91,0,1,chromosome,1664,1664,0,0,chromosome
92,0,1,chromosome,1419,1419,0,0,chromosome
93,0,1,chromosome,1371,1371,0,0,chromosome
94,1,1,ambiguous,1315,1315,1315,0,ambiguous
95,0,1,chromosome,1258,1258,0,0,chromosome
96,0,1,chromosome,1251,1251,0,0,chromosome
97,0,1,chromosome,1182,1182,0,0,chromosome
98,0,1,chromosome,1145,1145,0,0,chromosome
99,0,1,chromosome,1065,1065,0,0,chromosome
100,1,0,plasmid,1044,0,1044,0,plasmid
101,1,1,ambiguous,1041,1041,1041,0,ambiguous
102,0,1,chromosome,1034,1034,0,0,chromosome
