contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
1,0,1,chromosome,493779,493779,0,0,chromosome
2,0,1,chromosome,235572,235572,0,0,chromosome
3,0,1,chromosome,192649,192649,0,0,chromosome
4,0,1,chromosome,187508,187508,0,0,chromosome
5,0,1,chromosome,175935,175935,0,0,chromosome
6,0,1,chromosome,172819,172819,0,0,chromosome
7,0,1,chromosome,156807,156807,0,0,chromosome
8,0,1,chromosome,146173,146173,0,0,chromosome
9,0,1,chromosome,144717,144717,0,0,chromosome
10,0,1,chromosome,141972,141972,0,0,chromosome
11,0,1,chromosome,141479,141479,0,0,chromosome
12,0,1,chromosome,136678,136678,0,0,chromosome
13,0,1,chromosome,119221,119221,0,0,chromosome
14,0,1,chromosome,108751,108751,0,0,chromosome
15,0,1,chromosome,105873,105873,0,0,chromosome
16,0,1,chromosome,103200,103200,0,0,chromosome
17,0,1,chromosome,101327,101284,0,43,chromosome
18,0,1,chromosome,101044,101044,0,0,chromosome
19,0,1,chromosome,100657,100657,0,0,chromosome
20,0,1,chromosome,96384,96384,0,0,chromosome
21,0,1,chromosome,96282,96282,0,0,chromosome
22,0,1,chromosome,93688,93688,0,0,chromosome
23,0,1,chromosome,91666,91666,0,0,chromosome
24,0,1,chromosome,83717,83717,0,0,chromosome
25,0,1,chromosome,79345,79345,0,0,chromosome
26,0,1,chromosome,71494,71494,0,0,chromosome
27,0,1,chromosome,69442,69442,0,0,chromosome
28,0,1,chromosome,67651,67651,0,0,chromosome
29,0,1,chromosome,67178,67178,0,0,chromosome
30,0,1,chromosome,67160,67160,0,0,chromosome
31,0,1,chromosome,66720,66720,0,0,chromosome
32,0,1,chromosome,66492,66492,0,0,chromosome
33,0,1,chromosome,61028,61028,0,0,chromosome
34,1,0,plasmid,59536,0,59536,0,plasmid
35,0,1,chromosome,58401,58401,0,0,chromosome
36,0,1,chromosome,57436,57436,0,0,chromosome
37,0,0,unlabeled,53590,0,0,53590,unlabeled
38,0,1,chromosome,48935,48935,0,0,chromosome
39,1,0,plasmid,43828,0,43828,0,plasmid
40,1,0,plasmid,42204,0,42204,0,plasmid
41,0,1,chromosome,41135,41135,0,0,chromosome
42,0,1,chromosome,39916,39916,0,0,chromosome
43,0,1,chromosome,38361,38361,0,0,chromosome
44,0,1,chromosome,34136,34136,0,0,chromosome
45,0,1,chromosome,33567,33567,0,0,chromosome
46,0,1,chromosome,28253,28253,0,0,chromosome
47,0,1,chromosome,28239,28239,0,0,chromosome
48,0,1,chromosome,27017,27012,0,5,chromosome
49,0,1,chromosome,26568,26504,0,64,chromosome
50,0,1,chromosome,26035,26035,0,0,chromosome
51,0,1,chromosome,24718,24718,0,0,chromosome
52,0,1,chromosome,22745,22745,0,0,chromosome
53,1,0,plasmid,22063,0,22063,0,plasmid
54,0,1,chromosome,21656,21656,0,0,chromosome
55,0,1,chromosome,21639,21639,0,0,chromosome
56,0,1,chromosome,19353,19353,0,0,chromosome
57,0,1,chromosome,19082,19082,0,0,chromosome
58,0,1,chromosome,17960,17960,0,0,chromosome
59,0,1,chromosome,17082,17082,0,0,chromosome
60,0,1,chromosome,16851,16851,0,0,chromosome
61,0,1,chromosome,16754,16754,0,0,chromosome
62,1,0,plasmid,16364,0,16364,0,plasmid
63,1,0,plasmid,16319,0,16319,0,plasmid
64,0,0,unlabeled,14079,0,0,14079,unlabeled
65,1,0,plasmid,12944,0,12944,0,plasmid
66,1,0,plasmid,12781,0,12781,0,plasmid
67,0,1,chromosome,12577,12577,0,0,chromosome
68,0,1,chromosome,12548,12548,0,0,chromosome
69,1,0,plasmid,11525,0,11525,0,plasmid
70,1,0,plasmid,8214,0,8214,0,plasmid
71,1,0,plasmid,8120,0,8120,0,plasmid
72,1,0,plasmid,7413,0,7413,0,plasmid
73,0,1,chromosome,7326,7326,0,0,chromosome
74,0,1,chromosome,7177,7177,0,0,chromosome
75,1,0,plasmid,6877,0,6877,0,plasmid
76,1,0,plasmid,6846,0,6846,0,plasmid
77,0,1,chromosome,6745,6745,0,0,chromosome
78,1,0,plasmid,6110,0,6110,0,plasmid
79,0,0,unlabeled,5950,0,0,5950,unlabeled
80,0,1,chromosome,5775,5775,0,0,chromosome
81,1,0,plasmid,5775,0,5775,0,plasmid
82,0,1,chromosome,5767,5767,0,0,chromosome
83,0,1,chromosome,5615,5615,0,0,chromosome
84,1,0,plasmid,5430,0,5430,0,plasmid
85,1,0,plasmid,5370,0,5370,0,plasmid
86,0,0,unlabeled,5272,0,0,5272,unlabeled
87,1,0,plasmid,5265,0,5265,0,plasmid
88,0,0,unlabeled,4878,0,0,4878,unlabeled
89,0,0,unlabeled,4768,0,0,4768,unlabeled
90,0,1,chromosome,4532,4532,0,0,chromosome
91,1,0,plasmid,4496,0,4496,0,plasmid
92,0,1,chromosome,4300,4300,0,0,chromosome
93,0,1,chromosome,4258,4258,0,0,chromosome
94,1,0,plasmid,3944,0,3944,0,plasmid
95,0,1,chromosome,3696,3696,0,0,chromosome
96,1,0,plasmid,3689,0,3689,0,plasmid
97,1,0,plasmid,3678,0,3678,0,plasmid
98,0,1,chromosome,3577,3577,0,0,chromosome
99,1,0,plasmid,3536,0,3536,0,plasmid
100,1,0,plasmid,3374,0,3374,0,plasmid
101,1,0,plasmid,3309,0,3309,0,plasmid
102,1,0,plasmid,3282,0,3282,0,plasmid
103,0,1,chromosome,3209,3209,0,0,chromosome
104,0,0,unlabeled,3187,0,0,3187,unlabeled
105,1,0,plasmid,3074,0,3074,0,plasmid
106,1,0,plasmid,2888,0,2888,0,plasmid
107,0,0,unlabeled,2845,0,0,2845,unlabeled
108,1,0,plasmid,2840,0,2840,0,plasmid
109,1,0,plasmid,2751,0,2751,0,plasmid
110,1,0,plasmid,2673,0,2673,0,plasmid
111,0,0,unlabeled,2669,0,0,2669,unlabeled
112,0,1,chromosome,2623,2623,0,0,chromosome
113,1,0,plasmid,2580,0,2580,0,plasmid
114,1,0,plasmid,2562,0,2562,0,plasmid
115,1,0,plasmid,2542,0,2542,0,plasmid
116,1,0,plasmid,2480,0,2480,0,plasmid
117,1,0,plasmid,2145,0,2145,0,plasmid
118,1,1,ambiguous,2089,2089,2089,0,ambiguous
119,0,1,chromosome,2030,2030,0,0,chromosome
120,1,0,plasmid,1939,0,1939,0,plasmid
121,1,0,plasmid,1578,0,1578,0,plasmid
122,1,0,plasmid,1571,0,1571,0,plasmid
123,1,0,plasmid,1535,0,1535,0,plasmid
124,1,1,ambiguous,1501,1501,1501,0,ambiguous
125,1,1,ambiguous,1443,1443,1443,0,ambiguous
126,1,0,plasmid,1443,0,1443,0,plasmid
127,1,1,ambiguous,1393,1393,1393,0,ambiguous
128,1,0,plasmid,1120,0,1120,0,plasmid
129,0,1,chromosome,1091,1091,0,0,chromosome
130,1,0,plasmid,1080,0,1080,0,plasmid
131,0,1,chromosome,1037,1037,0,0,chromosome
132,1,0,plasmid,1018,0,1018,0,plasmid
133,1,0,plasmid,982,0,982,0,plasmid
134,0,0,unlabeled,951,0,0,951,unlabeled
135,0,1,chromosome,917,917,0,0,chromosome
136,1,0,plasmid,883,0,883,0,plasmid
137,0,0,unlabeled,865,0,0,865,unlabeled
138,1,0,plasmid,849,0,849,0,plasmid
139,0,1,chromosome,825,825,0,0,chromosome
140,1,0,plasmid,750,0,750,0,plasmid
141,1,0,plasmid,743,0,743,0,plasmid
142,0,0,unlabeled,738,0,0,738,unlabeled
143,0,0,unlabeled,738,0,0,738,unlabeled
144,0,1,chromosome,737,737,0,0,chromosome
145,1,0,plasmid,735,0,735,0,plasmid
146,1,0,plasmid,732,0,732,0,plasmid
147,0,1,chromosome,686,686,0,0,chromosome
148,0,1,chromosome,681,681,0,0,chromosome
149,0,1,chromosome,663,663,0,0,chromosome
150,0,1,chromosome,653,653,0,0,chromosome
151,1,1,ambiguous,651,651,651,0,ambiguous
152,0,1,chromosome,635,635,0,0,chromosome
153,1,0,plasmid,626,0,626,0,plasmid
154,1,0,plasmid,611,0,611,0,plasmid
155,1,0,plasmid,607,0,607,0,plasmid
156,1,0,plasmid,584,0,584,0,plasmid
157,1,0,plasmid,583,0,583,0,plasmid
158,1,0,plasmid,576,0,576,0,plasmid
159,1,1,ambiguous,568,568,568,0,ambiguous
160,0,1,chromosome,561,561,0,0,chromosome
161,1,0,plasmid,560,0,560,0,plasmid
162,0,1,chromosome,537,537,0,0,chromosome
163,1,0,plasmid,533,0,533,0,plasmid
164,1,0,plasmid,533,0,533,0,plasmid
165,1,0,plasmid,524,0,524,0,plasmid
166,1,0,plasmid,516,0,516,0,plasmid
167,1,1,ambiguous,511,511,511,0,ambiguous
168,0,1,chromosome,495,495,0,0,chromosome
169,1,0,plasmid,480,0,480,0,plasmid
170,1,0,plasmid,470,0,470,0,plasmid
171,1,0,plasmid,468,0,468,0,plasmid
172,1,0,plasmid,454,0,454,0,plasmid
173,0,1,chromosome,435,435,0,0,chromosome
174,0,0,unlabeled,412,0,0,412,unlabeled
175,1,0,plasmid,412,0,412,0,plasmid
176,0,0,unlabeled,404,0,0,404,unlabeled
177,1,0,plasmid,398,0,398,0,plasmid
178,1,0,plasmid,397,0,397,0,plasmid
179,1,0,plasmid,396,0,396,0,plasmid
180,1,0,plasmid,394,0,394,0,plasmid
181,0,0,unlabeled,391,0,0,391,unlabeled
182,1,0,plasmid,383,0,383,0,plasmid
183,1,0,plasmid,382,0,382,0,plasmid
184,1,0,plasmid,382,0,382,0,plasmid
185,1,0,plasmid,369,0,369,0,plasmid
186,1,0,plasmid,366,0,366,0,plasmid
187,1,1,ambiguous,358,358,358,0,ambiguous
188,1,0,plasmid,346,0,346,0,plasmid
189,1,0,plasmid,338,0,338,0,plasmid
190,1,0,plasmid,336,0,336,0,plasmid
191,1,0,plasmid,335,0,335,0,plasmid
192,1,0,plasmid,335,0,315,20,plasmid
193,1,0,plasmid,332,0,332,0,plasmid
194,1,1,ambiguous,332,332,332,0,ambiguous
195,0,0,unlabeled,331,0,0,331,unlabeled
196,1,0,plasmid,323,0,323,0,plasmid
197,1,0,plasmid,317,0,317,0,plasmid
198,1,0,plasmid,317,0,315,2,plasmid
199,1,1,ambiguous,317,317,317,0,ambiguous
200,1,0,plasmid,310,0,310,0,plasmid
201,1,0,plasmid,310,0,310,0,plasmid
202,1,0,plasmid,310,0,310,0,plasmid
203,1,0,plasmid,310,0,310,0,plasmid
