contig_u,contig_v,short_pair_count,long_read_count,total_support
1,72,47,0,47
10,26,55,0,55
10,90,1,0,1
11,5,27,1,28
11,90,3,0,3
12,17,86,1,87
12,70,4,0,4
13,49,91,0,91
13,72,63,0,63
14,63,44,0,44
14,78,19,0,19
15,18,0,0,0
15,28,83,0,83
16,33,74,3,77
16,85,0,0,0
17,50,0,0,0
18,40,0,0,0
19,35,73,0,73
19,80,31,0,31
2,28,105,1,106
2,82,0,0,0
20,33,64,0,64
20,59,29,0,29
21,26,57,0,57
21,33,97,0,97
22,35,66,0,66
22,59,41,0,41
23,67,57,0,57
24,40,0,0,0
24,79,39,1,40
24,9,0,0,0
25,35,93,0,93
25,85,0,0,0
26,31,46,0,46
26,6,90,0,90
27,66,0,0,0
27,70,3,0,3
28,4,90,0,90
28,5,147,53,200
28,8,87,0,87
28,9,113,38,151
29,32,71,0,71
29,70,0,0,0
3,63,26,0,26
3,7,0,2,2
30,46,640,0,640
31,83,0,0,0
32,56,48,0,48
32,6,66,0,66
32,66,0,0,0
33,81,199,60,259
34,59,29,0,29
34,83,0,0,0
35,71,6,0,6
35,83,0,0,0
37,61,27,0,27
37,84,30,0,30
38,55,0,0,0
38,82,0,0,0
39,42,960,65,1025
39,45,597,0,597
4,78,26,0,26
41,68,91,4,95
41,86,21,0,21
42,60,183,0,183
42,74,238,82,320
42,86,20,2,22
43,71,2,0,2
43,91,6,0,6
44,59,46,0,46
44,89,9,0,9
45,46,894,8,902
47,55,0,0,0
47,77,0,0,0
48,61,14,0,14
48,62,20,0,20
48,75,9,0,9
48,76,12,0,12
49,63,83,0,83
5,9,0,0,0
50,53,0,0,0
51,66,0,0,0
51,84,11,0,11
52,89,6,0,6
52,91,6,0,6
53,77,0,0,0
54,56,24,0,24
54,66,0,0,0
54,73,13,0,13
54,84,9,0,9
57,60,20,0,20
57,74,0,0,0
59,91,19,0,19
60,68,67,0,67
60,86,0,0,0
61,62,0,0,0
64,87,12,0,12
64,88,34,3,37
65,73,0,0,0
65,75,4,0,4
65,76,7,0,7
65,84,2,0,2
67,69,2,0,2
67,71,0,0,0
69,89,0,0,0
7,79,25,0,25
71,89,1,0,1
72,78,24,0,24
72,79,71,0,71
72,8,60,0,60
79,8,0,0,0
79,9,45,0,45
80,85,0,0,0
87,88,0,0,0
