contig_u,contig_v,short_pair_count,long_read_count,total_support
1,146,0,0,0
1,77,51,0,51
10,119,47,0,47
10,146,0,0,0
10,41,0,0,0
100,102,140,6,146
100,73,131,1,132
101,99,95,0,95
102,96,189,11,200
103,126,115,0,115
103,45,58,0,58
103,67,45,0,45
104,48,23,0,23
104,54,11,0,11
104,82,769,0,769
105,106,37,0,37
105,107,43,0,43
105,139,0,0,0
105,143,0,0,0
106,74,36,0,36
107,74,36,0,36
108,122,29,0,29
108,123,36,0,36
108,79,66,0,66
108,80,45,0,45
109,24,74,0,74
109,88,188,0,188
11,73,12,0,12
11,77,62,0,62
110,139,0,0,0
110,143,0,0,0
110,16,0,0,0
110,28,0,0,0
111,120,28,0,28
111,128,42,0,42
111,46,28,0,28
112,127,61,0,61
112,71,121,0,121
113,114,0,0,0
113,121,13,0,13
113,127,9,0,9
114,121,7,1,8
114,127,4,0,4
115,118,2,0,2
115,137,0,0,0
116,117,135,0,135
116,31,34,0,34
116,86,28,0,28
117,135,0,0,0
117,136,11,0,11
118,128,22,0,22
118,137,0,0,0
118,90,26,0,26
119,37,91,1,92
119,41,49,0,49
119,55,85,0,85
119,64,373,0,373
12,138,0,0,0
12,17,0,0,0
12,21,0,0,0
12,22,0,0,0
12,24,0,0,0
12,25,0,0,0
12,26,0,0,0
12,3,0,0,0
12,33,0,0,0
12,35,0,0,0
12,40,0,0,0
12,41,0,0,0
12,43,0,0,0
12,44,0,0,0
12,46,0,0,0
12,49,0,0,0
12,53,0,0,0
12,6,0,0,0
12,7,0,0,0
12,82,119,0,119
12,83,89,0,89
12,9,0,0,0
121,63,66,0,66
122,78,42,0,42
123,78,26,0,26
124,75,25,0,25
124,76,26,0,26
124,79,30,0,30
124,80,20,0,20
125,132,327,31,358
125,147,273,8,281
126,29,46,0,46
126,66,338,0,338
129,23,0,0,0
129,29,41,0,41
129,35,43,0,43
13,144,2,0,2
13,65,36,0,36
130,81,35,0,35
130,91,29,0,29
130,93,25,0,25
130,95,28,0,28
131,135,0,0,0
131,136,11,0,11
131,51,24,1,25
131,86,21,0,21
132,94,393,1,394
133,88,0,0,0
133,97,0,0,0
134,88,1,0,1
134,97,0,0,0
138,146,0,0,0
138,17,0,0,0
138,21,0,0,0
138,22,0,0,0
138,24,0,0,0
138,25,0,0,0
138,26,0,0,0
138,3,0,0,0
138,33,0,0,0
138,35,0,0,0
138,40,0,0,0
138,41,0,0,0
138,43,0,0,0
138,44,0,0,0
138,46,0,0,0
138,49,0,0,0
138,53,0,0,0
138,6,0,0,0
138,7,0,0,0
138,82,8,0,8
138,9,0,0,0
14,65,113,0,113
140,142,0,0,0
140,147,1,3,4
140,148,0,2,2
140,98,0,0,0
141,142,0,0,0
141,147,100,0,100
142,147,0,2,2
144,146,0,0,0
144,31,0,0,0
144,49,2,0,2
145,148,102,11,113
146,15,0,0,0
146,17,0,0,0
146,18,0,0,0
146,19,0,0,0
146,21,0,0,0
146,32,0,0,0
146,39,0,0,0
146,4,0,0,0
146,40,0,0,0
146,42,0,0,0
146,47,0,0,0
146,52,0,0,0
146,53,0,0,0
146,59,0,0,0
146,6,0,0,0
146,67,0,0,0
16,77,15,0,15
17,21,0,0,0
17,22,0,1,1
17,24,0,0,0
17,25,0,0,0
17,26,0,0,0
17,3,0,0,0
17,33,0,0,0
17,35,0,0,0
17,40,0,0,0
17,41,0,0,0
17,43,0,0,0
17,44,0,0,0
17,46,0,0,0
17,49,0,0,0
17,53,0,0,0
17,6,0,0,0
17,7,0,0,0
17,82,79,0,79
17,9,0,0,0
18,87,85,0,85
19,65,58,0,58
2,77,65,0,65
2,99,58,0,58
20,73,45,0,45
20,77,32,0,32
21,22,0,0,0
21,24,0,0,0
21,25,0,0,0
21,26,0,0,0
21,3,0,0,0
21,33,0,0,0
21,35,0,0,0
21,40,0,0,0
21,41,0,0,0
21,43,0,0,0
21,44,0,0,0
21,46,0,0,0
21,49,0,0,0
21,53,0,0,0
21,6,0,0,0
21,7,0,0,0
21,82,126,0,126
21,9,0,0,0
22,24,0,0,0
22,25,0,0,0
22,26,0,0,0
22,3,0,0,0
22,33,0,0,0
22,35,0,0,0
22,40,0,0,0
22,41,0,0,0
22,43,0,0,0
22,44,0,0,0
22,46,0,0,0
22,49,0,0,0
22,53,0,0,0
22,6,0,0,0
22,7,0,0,0
22,82,121,0,121
22,83,49,0,49
22,9,0,0,0
23,8,0,0,0
24,25,0,0,0
24,26,0,0,0
24,3,0,0,0
24,33,0,0,0
24,35,0,0,0
24,40,0,0,0
24,41,0,0,0
24,43,0,0,0
24,44,0,0,0
24,46,0,0,0
24,49,0,0,0
24,53,0,0,0
24,6,0,0,0
24,7,0,0,0
24,82,50,0,50
24,88,0,0,0
24,9,0,0,0
25,26,0,0,0
25,3,0,0,0
25,33,0,0,0
25,35,0,0,0
25,40,0,0,0
25,41,0,0,0
25,43,0,0,0
25,44,0,0,0
25,46,0,0,0
25,49,0,0,0
25,53,0,0,0
25,6,0,0,0
25,7,0,0,0
25,73,47,0,47
25,82,124,7,131
25,9,0,0,0
26,3,0,0,0
26,33,0,0,0
26,35,0,0,0
26,40,0,0,0
26,41,0,0,0
26,43,0,0,0
26,44,0,0,0
26,46,0,0,0
26,49,0,0,0
26,53,0,0,0
26,6,0,0,0
26,65,39,0,39
26,7,0,0,0
26,82,133,6,139
26,9,0,0,0
27,65,58,0,58
27,73,39,0,39
28,83,72,0,72
3,33,0,0,0
3,35,0,0,0
3,40,0,0,0
3,41,0,0,0
3,43,0,0,0
3,44,0,0,0
3,46,0,0,0
3,49,0,0,0
3,53,0,0,0
3,6,0,0,0
3,65,42,0,42
3,7,0,0,0
3,82,56,0,56
3,9,0,0,0
30,77,48,0,48
30,85,92,0,92
32,73,50,0,50
33,35,0,0,0
33,40,0,0,0
33,41,0,0,0
33,43,0,0,0
33,44,0,0,0
33,46,0,0,0
33,49,0,0,0
33,53,0,0,0
33,6,0,0,0
33,7,0,0,0
33,82,100,5,105
33,9,0,0,0
34,65,19,0,19
34,73,24,0,24
35,40,0,0,0
35,41,0,0,0
35,43,0,0,0
35,44,0,0,0
35,46,0,0,0
35,49,0,0,0
35,53,0,0,0
35,6,0,0,0
35,7,0,0,0
35,82,182,7,189
35,9,0,0,0
36,54,0,0,0
36,73,50,0,50
36,82,190,1,191
37,55,0,0,0
37,73,43,0,43
38,77,104,0,104
39,77,57,0,57
4,77,31,0,31
40,41,0,0,0
40,43,0,0,0
40,44,0,0,0
40,46,0,0,0
40,49,0,0,0
40,53,0,0,0
40,6,0,0,0
40,7,0,0,0
40,82,138,7,145
40,9,0,0,0
41,43,0,0,0
41,44,0,0,0
41,46,0,0,0
41,49,0,0,0
41,53,0,0,0
41,6,0,0,0
41,7,0,0,0
41,82,81,0,81
41,9,0,0,0
42,65,41,0,41
43,44,0,0,0
43,46,0,0,0
43,49,0,0,0
43,53,0,0,0
43,6,0,0,0
43,7,0,0,0
43,82,103,0,103
43,9,0,0,0
44,46,0,0,0
44,49,0,0,0
44,53,0,0,0
44,6,0,0,0
44,7,0,0,0
44,82,91,0,91
44,9,0,0,0
44,97,94,0,94
46,49,0,0,0
46,53,0,0,0
46,6,0,0,0
46,7,0,0,0
46,82,128,2,130
46,9,0,0,0
48,73,40,0,40
49,53,0,0,0
49,6,0,0,0
49,7,0,0,0
49,82,117,4,121
49,9,0,0,0
5,73,23,0,23
5,87,68,0,68
50,73,13,0,13
50,77,56,0,56
51,97,68,0,68
52,89,81,0,81
53,6,0,0,0
53,7,0,0,0
53,82,82,0,82
53,9,0,0,0
54,82,179,0,179
55,65,39,0,39
56,73,824,0,824
57,65,50,0,50
57,89,81,0,81
58,71,65,0,65
58,95,84,0,84
59,77,26,0,26
6,7,0,0,0
6,82,149,0,149
6,9,0,0,0
60,65,82,0,82
60,77,117,0,117
61,83,177,0,177
62,73,51,0,51
62,83,68,0,68
63,73,31,0,31
64,66,556,28,584
65,69,138,0,138
65,8,19,0,19
68,77,72,0,72
68,78,67,0,67
69,85,193,0,193
7,77,43,0,43
7,82,122,1,123
7,9,0,0,0
70,73,38,0,38
70,78,51,0,51
71,72,58,0,58
72,77,57,0,57
73,77,61,0,61
73,84,19,0,19
73,96,117,1,118
74,77,68,0,68
75,92,45,0,45
76,92,59,0,59
77,84,69,0,69
77,9,40,0,40
81,85,143,0,143
82,9,110,5,115
85,91,64,0,64
87,89,334,1,335
92,93,101,0,101
92,95,82,0,82
94,99,54,0,54
