contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
1,0,1,chromosome,244951,244951,0,0,chromosome
2,0,1,chromosome,218654,218654,0,0,chromosome
3,0,1,chromosome,179499,179499,0,0,chromosome
4,0,1,chromosome,164877,164877,0,0,chromosome
5,0,1,chromosome,156697,156697,0,0,chromosome
6,0,1,chromosome,146486,146486,0,0,chromosome
7,0,1,chromosome,132754,132754,0,0,chromosome
8,0,1,chromosome,129775,129775,0,0,chromosome
9,0,1,chromosome,125812,125812,0,0,chromosome
10,0,1,chromosome,125663,125663,0,0,chromosome
11,0,1,chromosome,124833,124833,0,0,chromosome
12,0,1,chromosome,114856,114856,0,0,chromosome
13,0,1,chromosome,102436,102436,0,0,chromosome
14,0,1,chromosome,100920,100920,0,0,chromosome
15,0,1,chromosome,99269,99269,0,0,chromosome
16,0,1,chromosome,99090,99090,0,0,chromosome
17,0,1,chromosome,85916,85916,0,0,chromosome
18,0,1,chromosome,82995,82995,0,0,chromosome
19,0,1,chromosome,79623,79623,0,0,chromosome
20,0,1,chromosome,63394,63394,0,0,chromosome
21,0,1,chromosome,62374,62374,0,0,chromosome
22,0,1,chromosome,62288,62288,0,0,chromosome
23,0,1,chromosome,60567,60567,0,0,chromosome
24,0,1,chromosome,56954,56954,0,0,chromosome
25,0,1,chromosome,54662,54662,0,0,chromosome
26,0,1,chromosome,53702,53702,0,0,chromosome
27,0,1,chromosome,53507,53507,0,0,chromosome
28,0,1,chromosome,51636,51572,0,64,chromosome
29,0,1,chromosome,50326,50326,0,0,chromosome
30,0,1,chromosome,46952,46952,0,0,chromosome
31,0,1,chromosome,45350,45350,0,0,chromosome
32,0,1,chromosome,44482,44482,0,0,chromosome
33,0,1,chromosome,39918,39918,0,0,chromosome
34,0,1,chromosome,35828,35828,0,0,chromosome
35,0,1,chromosome,35701,35701,0,0,chromosome
36,1,0,plasmid,35428,0,35428,0,plasmid
37,0,1,chromosome,35168,35168,0,0,chromosome
38,0,1,chromosome,33518,33518,0,0,chromosome
39,0,1,chromosome,29515,29515,0,0,chromosome
40,0,1,chromosome,28448,28448,0,0,chromosome
41,0,1,chromosome,26170,26170,0,0,chromosome
42,0,1,chromosome,25443,25443,0,0,chromosome
43,0,1,chromosome,24727,24727,0,0,chromosome
44,0,1,chromosome,23832,23832,0,0,chromosome
45,0,1,chromosome,23631,23631,0,0,chromosome
46,0,1,chromosome,23450,23450,0,0,chromosome
47,0,1,chromosome,21916,21916,0,0,chromosome
48,1,0,plasmid,20727,0,20727,0,plasmid
49,0,1,chromosome,19342,19342,0,0,chromosome
50,0,1,chromosome,14933,14933,0,0,chromosome
51,0,1,chromosome,14022,14022,0,0,chromosome
52,0,1,chromosome,13046,13046,0,0,chromosome
53,0,1,chromosome,12675,12675,0,0,chromosome
54,1,0,plasmid,12504,0,12504,0,plasmid
55,0,1,chromosome,9913,9913,0,0,chromosome
56,1,0,plasmid,9880,0,9880,0,plasmid
57,0,1,chromosome,8907,8907,0,0,chromosome
58,0,1,chromosome,8574,8574,0,0,chromosome
59,0,1,chromosome,7931,7931,0,0,chromosome
60,0,1,chromosome,7505,7505,0,0,chromosome
61,0,1,chromosome,6514,6514,0,0,chromosome
62,0,1,chromosome,4152,4152,0,0,chromosome
63,0,1,chromosome,3890,3890,0,0,chromosome
64,0,1,chromosome,3062,3062,0,0,chromosome
65,0,1,chromosome,2594,2594,0,0,chromosome
66,0,1,chromosome,2143,2143,0,0,chromosome
67,0,1,chromosome,1841,1841,0,0,chromosome
68,0,1,chromosome,1674,1674,0,0,chromosome
69,0,1,chromosome,1431,1431,0,0,chromosome
70,0,1,chromosome,1322,1322,0,0,chromosome
71,0,1,chromosome,1221,1221,0,0,chromosome
72,0,1,chromosome,1191,1191,0,0,chromosome
73,1,1,ambiguous,1087,1087,1087,0,ambiguous
74,0,1,chromosome,1074,1074,0,0,chromosome
75,0,1,chromosome,1060,1060,0,0,chromosome
76,0,1,chromosome,1057,1057,0,0,chromosome
77,0,1,chromosome,1039,1039,0,0,chromosome
78,0,1,chromosome,977,977,0,0,chromosome
79,0,1,chromosome,946,946,0,0,chromosome
80,0,1,chromosome,946,946,0,0,chromosome
81,0,1,chromosome,931,931,0,0,chromosome
82,1,1,ambiguous,906,906,906,0,ambiguous
83,0,1,chromosome,820,820,0,0,chromosome
84,0,1,chromosome,779,779,0,0,chromosome
85,0,1,chromosome,711,711,0,0,chromosome
86,0,1,chromosome,637,637,0,0,chromosome
87,0,1,chromosome,614,614,0,0,chromosome
88,0,1,chromosome,585,585,0,0,chromosome
89,0,1,chromosome,539,539,0,0,chromosome
90,0,1,chromosome,390,390,0,0,chromosome
91,0,1,chromosome,380,380,0,0,chromosome
92,0,1,chromosome,379,379,0,0,chromosome
93,0,1,chromosome,368,368,0,0,chromosome
94,0,1,chromosome,355,355,0,0,chromosome
95,0,1,chromosome,348,348,0,0,chromosome
96,1,1,ambiguous,343,343,343,0,ambiguous
97,0,1,chromosome,340,340,0,0,chromosome
98,0,1,chromosome,308,308,0,0,chromosome
99,0,1,chromosome,290,290,0,0,chromosome
100,1,1,ambiguous,289,289,289,0,ambiguous
101,0,1,chromosome,286,286,0,0,chromosome
102,1,1,ambiguous,264,264,264,0,ambiguous
103,0,1,chromosome,229,229,0,0,chromosome
104,1,0,plasmid,224,0,224,0,plasmid
105,0,1,chromosome,209,209,0,0,chromosome
106,0,0,unlabeled,205,0,0,205,unlabeled
107,0,1,chromosome,205,205,0,0,chromosome
108,0,1,chromosome,203,203,0,0,chromosome
109,0,0,unlabeled,189,0,0,189,unlabeled
110,0,0,unlabeled,180,0,0,180,unlabeled
111,0,0,unlabeled,180,0,0,180,unlabeled
112,0,0,unlabeled,173,0,0,173,unlabeled
