contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
1,0,1,chromosome,382197,382197,0,0,chromosome
2,0,1,chromosome,324578,324578,0,0,chromosome
3,0,1,chromosome,220463,220463,0,0,chromosome
4,0,1,chromosome,219994,219994,0,0,chromosome
5,0,1,chromosome,177571,177571,0,0,chromosome
6,0,1,chromosome,169149,169149,0,0,chromosome
7,0,1,chromosome,160971,160971,0,0,chromosome
8,0,1,chromosome,147707,147707,0,0,chromosome
9,0,1,chromosome,132092,132090,0,2,chromosome
10,0,1,chromosome,118882,118882,0,0,chromosome
11,0,1,chromosome,118428,118428,0,0,chromosome
12,0,1,chromosome,111236,111236,0,0,chromosome
13,0,1,chromosome,88020,88020,0,0,chromosome
14,0,1,chromosome,77980,77980,0,0,chromosome
15,0,1,chromosome,73964,73964,0,0,chromosome
16,0,1,chromosome,70450,70450,0,0,chromosome
17,0,1,chromosome,62475,62475,0,0,chromosome
18,0,1,chromosome,46120,46120,0,0,chromosome
19,0,1,chromosome,38834,38834,0,0,chromosome
20,0,1,chromosome,34809,34809,0,0,chromosome
21,0,1,chromosome,32135,32135,0,0,chromosome
22,1,0,plasmid,24889,0,24889,0,plasmid
23,0,1,chromosome,20058,20058,0,0,chromosome
24,0,1,chromosome,11978,11978,0,0,chromosome
25,0,1,chromosome,6714,6714,0,0,chromosome
26,0,1,chromosome,4685,4685,0,0,chromosome
27,0,1,chromosome,4554,4554,0,0,chromosome
28,0,1,chromosome,3126,3126,0,0,chromosome
29,0,1,chromosome,3121,3121,0,0,chromosome
30,1,0,plasmid,1918,0,1918,0,plasmid
31,0,1,chromosome,1388,1388,0,0,chromosome
32,0,1,chromosome,1357,1357,0,0,chromosome
33,0,1,chromosome,1188,1188,0,0,chromosome
34,0,1,chromosome,1075,1075,0,0,chromosome
35,1,0,plasmid,770,0,770,0,plasmid
36,0,1,chromosome,560,560,0,0,chromosome
37,1,0,plasmid,458,0,458,0,plasmid
38,0,1,chromosome,393,393,0,0,chromosome
39,1,0,plasmid,390,0,390,0,plasmid
40,0,1,chromosome,278,278,0,0,chromosome
41,1,0,plasmid,243,0,243,0,plasmid
42,0,0,unlabeled,194,0,0,194,unlabeled
43,0,0,unlabeled,191,0,0,191,unlabeled
44,0,0,unlabeled,173,0,0,173,unlabeled
45,0,0,unlabeled,173,0,0,173,unlabeled
46,0,0,unlabeled,158,0,0,158,unlabeled
47,0,0,unlabeled,149,0,0,149,unlabeled
48,0,0,unlabeled,144,0,0,144,unlabeled
49,0,0,unlabeled,133,0,0,133,unlabeled
50,0,0,unlabeled,105,0,0,105,unlabeled
