contig_u,contig_v,short_pair_count,long_read_count,total_support
1,26,3,0,3
1,27,4,0,4
10,19,15,0,15
10,20,24,1,25
11,19,22,0,22
11,21,7,0,7
12,25,0,0,0
12,30,0,0,0
13,21,11,2,13
13,28,21,0,21
14,18,11,0,11
14,2,7,5,12
14,29,9,1,10
14,30,6,0,6
15,25,0,0,0
16,19,21,0,21
16,30,0,0,0
17,20,0,0,0
17,24,0,0,0
17,26,0,0,0
18,22,11,1,12
2,4,35,14,49
20,24,0,0,0
21,9,17,0,17
22,28,11,1,12
22,29,2,0,2
23,26,0,0,0
24,30,0,0,0
25,8,0,0,0
26,8,15,2,17
27,3,3,0,3
30,5,0,0,0
30,9,0,0,0
