contig_u,contig_v,short_pair_count,long_read_count,total_support
1,117,23,0,23
1,22,19,1,20
10,104,10,0,10
10,22,28,1,29
100,131,4,0,4
100,56,53,3,56
101,153,1,0,1
101,154,0,0,0
101,49,71,0,71
102,114,8,0,8
102,115,14,0,14
102,9,14,0,14
103,132,27,0,27
103,138,17,2,19
104,151,0,0,0
104,152,0,0,0
104,20,8,0,8
104,3,2,0,2
104,7,3,0,3
105,39,0,0,0
105,97,0,0,0
106,124,0,0,0
106,61,9,0,9
107,124,0,0,0
107,61,12,0,12
108,149,0,0,0
108,150,0,0,0
108,38,73,1,74
109,136,0,0,0
109,61,6,0,6
11,46,25,0,25
11,55,22,0,22
110,136,0,0,0
110,61,5,0,5
111,75,31,1,32
111,77,23,0,23
112,137,0,0,0
112,77,1,0,1
113,137,0,0,0
113,77,8,0,8
114,15,3,0,3
114,20,8,0,8
115,118,2,0,2
115,7,20,1,21
116,144,0,0,0
116,2,2,0,2
116,25,5,0,5
117,13,14,0,14
117,62,42,0,42
118,151,0,0,0
118,152,0,0,0
119,52,26,0,26
119,53,12,0,12
119,57,48,0,48
12,144,0,0,0
12,99,14,0,14
120,44,4,0,4
120,45,1,0,1
120,80,1,0,1
120,81,1,0,1
121,32,63,1,64
121,68,26,0,26
121,69,9,0,9
122,92,0,0,0
122,95,0,0,0
123,141,0,0,0
123,6,0,0,0
123,74,2,0,2
124,33,1,0,1
124,34,0,0,0
125,145,0,0,0
125,146,0,0,0
125,74,2,1,3
125,90,1,0,1
126,28,3,0,3
126,64,3,0,3
126,65,1,0,1
126,8,0,0,0
127,141,0,0,0
127,145,0,0,0
127,146,0,0,0
128,2,7,0,7
128,36,25,1,26
128,90,4,0,4
129,27,0,0,0
129,42,0,0,0
13,23,2,3,5
130,132,13,1,14
130,70,44,0,44
131,147,0,0,0
131,148,0,0,0
133,142,20,32,52
133,32,66,4,70
134,42,0,0,0
134,87,0,0,0
135,139,0,0,0
135,140,0,0,0
135,93,6,0,6
136,78,2,0,2
136,79,2,0,2
137,147,0,0,0
137,148,0,0,0
138,56,52,0,52
139,75,0,0,0
14,27,15,1,16
14,48,0,0,0
14,6,0,1,1
14,67,25,0,25
140,75,0,0,0
142,88,70,32,102
143,16,0,0,0
143,21,0,0,0
143,63,4,0,4
144,29,1,0,1
149,60,0,0,0
15,26,12,0,12
150,60,0,0,0
153,55,0,0,0
154,55,0,0,0
16,76,23,0,23
17,26,15,3,18
17,46,19,0,19
18,29,42,22,64
18,39,0,0,0
18,76,50,0,50
19,46,23,0,23
19,98,14,0,14
21,62,32,0,32
22,3,25,1,26
22,8,12,3,15
23,29,20,2,22
25,46,21,0,21
26,35,77,35,112
27,5,24,0,24
29,39,88,12,100
29,4,35,1,36
31,62,26,0,26
31,91,33,0,33
33,89,57,0,57
34,89,26,0,26
35,71,0,0,0
36,85,14,0,14
36,86,2,0,2
37,47,57,0,57
37,48,46,0,46
38,50,33,0,33
38,51,70,0,70
4,63,22,0,22
40,47,169,20,189
40,84,139,3,142
41,47,67,0,67
41,48,94,17,111
41,67,0,0,0
43,55,48,0,48
43,87,23,0,23
44,54,27,0,27
45,54,63,0,63
48,6,46,19,65
48,67,602,253,855
49,68,45,0,45
49,69,20,0,20
50,82,30,0,30
51,82,58,0,58
52,94,29,0,29
53,94,18,0,18
54,63,174,1,175
57,88,154,83,237
58,66,56,0,56
58,83,23,0,23
59,66,28,0,28
59,83,9,0,9
6,67,0,0,0
60,80,20,0,20
60,81,59,0,59
64,70,15,0,15
65,70,11,0,11
66,96,114,1,115
67,84,84,4,88
71,95,0,0,0
72,83,2,0,2
72,94,5,0,5
73,83,10,0,10
73,94,17,0,17
76,93,95,2,97
78,96,17,0,17
79,96,40,0,40
82,89,114,0,114
85,99,1,0,1
86,99,1,0,1
9,99,23,0,23
91,98,10,0,10
92,97,0,0,0
