contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
1,0,1,chromosome,360934,360934,0,0,chromosome
2,0,1,chromosome,309573,309573,0,0,chromosome
3,0,1,chromosome,262951,262951,0,0,chromosome
4,0,1,chromosome,225795,225795,0,0,chromosome
5,0,1,chromosome,224123,224123,0,0,chromosome
6,0,1,chromosome,197458,197458,0,0,chromosome
7,0,1,chromosome,173358,173358,0,0,chromosome
8,0,1,chromosome,168836,168836,0,0,chromosome
9,0,1,chromosome,149689,149689,0,0,chromosome
10,0,1,chromosome,148007,148007,0,0,chromosome
11,0,1,chromosome,146278,146278,0,0,chromosome
12,0,1,chromosome,139176,139176,0,0,chromosome
13,0,1,chromosome,138428,138428,0,0,chromosome
14,0,1,chromosome,131288,131288,0,0,chromosome
15,0,1,chromosome,120047,120047,0,0,chromosome
16,0,1,chromosome,116585,116585,0,0,chromosome
17,0,1,chromosome,115283,115283,0,0,chromosome
18,0,1,chromosome,106077,106077,0,0,chromosome
19,0,1,chromosome,99296,99296,0,0,chromosome
20,0,1,chromosome,98047,98047,0,0,chromosome
21,0,1,chromosome,86378,86378,0,0,chromosome
22,0,1,chromosome,86116,86116,0,0,chromosome
23,0,1,chromosome,86023,86023,0,0,chromosome
24,0,1,chromosome,83793,83793,0,0,chromosome
25,0,1,chromosome,82518,82518,0,0,chromosome
26,0,1,chromosome,81318,81318,0,0,chromosome
27,0,1,chromosome,77490,77490,0,0,chromosome
28,0,1,chromosome,77309,77309,0,0,chromosome
29,0,1,chromosome,75046,75046,0,0,chromosome
30,0,1,chromosome,65931,65931,0,0,chromosome
31,1,0,plasmid,62724,0,62724,0,plasmid
32,0,1,chromosome,59338,59338,0,0,chromosome
33,0,1,chromosome,57054,57054,0,0,chromosome
34,0,1,chromosome,54537,54537,0,0,chromosome
35,0,1,chromosome,49479,49479,0,0,chromosome
36,0,1,chromosome,47534,47534,0,0,chromosome
37,1,0,plasmid,43408,0,43408,0,plasmid
38,1,0,plasmid,40168,0,40168,0,plasmid
39,0,1,chromosome,38551,38541,0,10,chromosome
40,0,1,chromosome,37136,37136,0,0,chromosome
41,0,1,chromosome,34626,34626,0,0,chromosome
42,0,1,chromosome,34237,34237,0,0,chromosome
43,0,1,chromosome,33298,33298,0,0,chromosome
44,0,1,chromosome,32811,32811,0,0,chromosome
45,0,1,chromosome,32685,32685,0,0,chromosome
46,0,1,chromosome,32656,32656,0,0,chromosome
47,0,1,chromosome,28229,28229,0,0,chromosome
48,0,1,chromosome,27630,27630,0,0,chromosome
49,0,1,chromosome,27415,27415,0,0,chromosome
50,0,1,chromosome,26058,26058,0,0,chromosome
51,1,0,plasmid,24300,0,24300,0,plasmid
52,0,1,chromosome,22641,22641,0,0,chromosome
53,1,0,plasmid,20825,0,20825,0,plasmid
54,0,1,chromosome,18033,18033,0,0,chromosome
55,0,1,chromosome,16368,16368,0,0,chromosome
56,1,0,plasmid,16294,0,16294,0,plasmid
57,0,1,chromosome,13233,13233,0,0,chromosome
58,0,1,chromosome,12747,12747,0,0,chromosome
59,0,1,chromosome,12697,12697,0,0,chromosome
60,1,0,plasmid,11959,0,11959,0,plasmid
61,0,1,chromosome,11754,11754,0,0,chromosome
62,0,1,chromosome,11150,11150,0,0,chromosome
63,1,0,plasmid,10941,0,10941,0,plasmid
64,0,1,chromosome,10499,10499,0,0,chromosome
65,0,1,chromosome,10333,10333,0,0,chromosome
66,0,1,chromosome,10274,10274,0,0,chromosome
67,1,0,plasmid,9834,0,9834,0,plasmid
68,1,0,plasmid,9241,0,9241,0,plasmid
69,1,0,plasmid,9170,0,9170,0,plasmid
70,0,1,chromosome,8907,8907,0,0,chromosome
71,0,1,chromosome,8402,8402,0,0,chromosome
72,1,0,plasmid,8327,0,8327,0,plasmid
73,1,0,plasmid,8018,0,8018,0,plasmid
74,0,1,chromosome,7634,7634,0,0,chromosome
75,1,0,plasmid,6871,0,6871,0,plasmid
76,0,1,chromosome,6618,6618,0,0,chromosome
77,1,0,plasmid,6583,0,6583,0,plasmid
78,1,0,plasmid,6498,0,6498,0,plasmid
79,1,0,plasmid,6083,0,6083,0,plasmid
80,1,0,plasmid,6071,0,6071,0,plasmid
81,1,0,plasmid,5768,0,5768,0,plasmid
82,1,0,plasmid,5496,0,5496,0,plasmid
83,0,1,chromosome,5317,5317,0,0,chromosome
84,1,0,plasmid,5103,0,5103,0,plasmid
85,1,0,plasmid,4809,0,4809,0,plasmid
86,0,1,chromosome,4759,4759,0,0,chromosome
87,1,0,plasmid,4386,0,4386,0,plasmid
88,1,0,plasmid,4301,0,4301,0,plasmid
89,1,0,plasmid,4271,0,4271,0,plasmid
90,0,1,chromosome,4233,4233,0,0,chromosome
91,0,1,chromosome,4173,4173,0,0,chromosome
92,1,0,plasmid,3990,0,3990,0,plasmid
93,1,0,plasmid,3900,0,3900,0,plasmid
94,0,1,chromosome,3830,3830,0,0,chromosome
95,1,0,plasmid,3778,0,3775,3,plasmid
96,1,0,plasmid,3746,0,3746,0,plasmid
97,1,0,plasmid,3652,0,3652,0,plasmid
98,1,0,plasmid,3512,0,3512,0,plasmid
99,1,0,plasmid,3347,0,3347,0,plasmid
100,0,1,chromosome,3330,3330,0,0,chromosome
101,1,0,plasmid,2876,0,2876,0,plasmid
102,1,0,plasmid,2834,0,2834,0,plasmid
103,1,0,plasmid,2656,0,2656,0,plasmid
104,1,0,plasmid,2544,0,2544,0,plasmid
105,1,0,plasmid,2250,0,2250,0,plasmid
106,1,0,plasmid,2136,0,2136,0,plasmid
107,0,1,chromosome,2111,2111,0,0,chromosome
108,1,0,plasmid,1956,0,1956,0,plasmid
109,0,1,chromosome,1706,1706,0,0,chromosome
110,1,0,plasmid,1653,0,1653,0,plasmid
111,0,1,chromosome,1607,1607,0,0,chromosome
112,1,0,plasmid,1534,0,1534,0,plasmid
113,1,0,plasmid,1531,0,1531,0,plasmid
114,0,1,chromosome,1501,1501,0,0,chromosome
115,1,1,ambiguous,1467,1467,1467,0,ambiguous
116,1,0,plasmid,1457,0,1457,0,plasmid
117,1,0,plasmid,1400,0,1400,0,plasmid
118,0,1,chromosome,1400,1400,0,0,chromosome
119,0,1,chromosome,1378,1378,0,0,chromosome
120,1,0,plasmid,1338,0,1338,0,plasmid
121,0,1,chromosome,1333,1333,0,0,chromosome
122,1,1,ambiguous,1323,1323,1323,0,ambiguous
123,1,0,plasmid,1304,0,1304,0,plasmid
124,1,0,plasmid,1249,0,1249,0,plasmid
125,1,0,plasmid,1200,0,1200,0,plasmid
126,1,1,ambiguous,1189,1189,1189,0,ambiguous
127,1,0,plasmid,1161,0,1161,0,plasmid
128,1,1,ambiguous,1125,1125,1125,0,ambiguous
129,1,1,ambiguous,1075,1075,1075,0,ambiguous
130,1,0,plasmid,1061,0,1061,0,plasmid
131,1,0,plasmid,1040,0,1040,0,plasmid
132,1,0,plasmid,1018,0,1018,0,plasmid
133,1,1,ambiguous,998,998,998,0,ambiguous
134,1,0,plasmid,997,0,997,0,plasmid
135,0,1,chromosome,973,973,0,0,chromosome
136,1,0,plasmid,933,0,933,0,plasmid
137,1,0,plasmid,922,0,922,0,plasmid
138,1,0,plasmid,815,0,815,0,plasmid
139,1,0,plasmid,811,0,811,0,plasmid
140,1,0,plasmid,708,0,708,0,plasmid
141,1,0,plasmid,698,0,698,0,plasmid
142,1,0,plasmid,664,0,664,0,plasmid
143,1,0,plasmid,654,0,654,0,plasmid
144,1,0,plasmid,642,0,642,0,plasmid
145,1,0,plasmid,610,0,610,0,plasmid
146,1,0,plasmid,610,0,610,0,plasmid
147,1,0,plasmid,589,0,589,0,plasmid
148,1,1,ambiguous,560,560,560,0,ambiguous
149,1,0,plasmid,535,0,535,0,plasmid
150,1,1,ambiguous,521,521,521,0,ambiguous
151,1,0,plasmid,486,0,486,0,plasmid
152,1,0,plasmid,458,0,458,0,plasmid
153,0,1,chromosome,455,455,0,0,chromosome
154,0,1,chromosome,453,453,0,0,chromosome
155,1,0,plasmid,450,0,450,0,plasmid
156,1,0,plasmid,446,0,446,0,plasmid
157,1,0,plasmid,431,0,431,0,plasmid
158,1,1,ambiguous,427,427,427,0,ambiguous
159,1,0,plasmid,418,0,418,0,plasmid
160,1,1,ambiguous,417,417,417,0,ambiguous
161,1,0,plasmid,405,0,405,0,plasmid
162,1,0,plasmid,402,0,402,0,plasmid
163,1,0,plasmid,401,0,401,0,plasmid
164,0,1,chromosome,398,398,0,0,chromosome
165,1,0,plasmid,383,0,383,0,plasmid
166,1,0,plasmid,382,0,382,0,plasmid
167,1,0,plasmid,382,0,382,0,plasmid
168,1,0,plasmid,373,0,373,0,plasmid
169,1,0,plasmid,365,0,365,0,plasmid
170,1,0,plasmid,355,0,355,0,plasmid
171,1,1,ambiguous,352,352,352,0,ambiguous
172,1,0,plasmid,345,0,345,0,plasmid
173,1,0,plasmid,338,0,338,0,plasmid
174,1,0,plasmid,334,0,334,0,plasmid
175,1,0,plasmid,312,0,312,0,plasmid
176,1,1,ambiguous,307,307,307,0,ambiguous
177,1,1,ambiguous,295,295,295,0,ambiguous
178,1,0,plasmid,295,0,295,0,plasmid
179,1,1,ambiguous,290,290,290,0,ambiguous
180,1,1,ambiguous,284,284,284,0,ambiguous
181,1,0,plasmid,282,0,282,0,plasmid
182,1,0,plasmid,278,0,278,0,plasmid
183,1,0,plasmid,278,0,278,0,plasmid
184,0,1,chromosome,278,278,0,0,chromosome
185,1,0,plasmid,268,0,268,0,plasmid
186,1,0,plasmid,261,0,261,0,plasmid
187,1,0,plasmid,250,0,250,0,plasmid
188,1,0,plasmid,248,0,248,0,plasmid
189,1,0,plasmid,248,0,248,0,plasmid
190,1,0,plasmid,243,0,243,0,plasmid
191,1,1,ambiguous,241,241,241,0,ambiguous
192,1,0,plasmid,239,0,239,0,plasmid
193,1,0,plasmid,238,0,238,0,plasmid
194,1,0,plasmid,236,0,236,0,plasmid
195,1,0,plasmid,236,0,236,0,plasmid
196,0,1,chromosome,236,236,0,0,chromosome
197,1,0,plasmid,235,0,235,0,plasmid
198,1,0,plasmid,234,0,234,0,plasmid
199,1,0,plasmid,232,0,232,0,plasmid
200,1,0,plasmid,231,0,231,0,plasmid
201,1,0,plasmid,222,0,222,0,plasmid
202,1,0,plasmid,219,0,219,0,plasmid
