contig_u,contig_v,short_pair_count,long_read_count,total_support
1,86,7,0,7
10,17,0,34,34
10,27,0,15,15
10,28,0,15,15
10,42,0,2,2
10,43,0,9,9
10,49,0,6,6
10,55,0,5,5
10,61,0,0,0
10,78,0,21,21
10,86,6,2,8
100,103,48,0,48
100,109,10,0,10
101,104,20,0,20
101,115,29,0,29
101,92,64,0,64
102,106,19,0,19
102,36,8,1,9
102,45,13,3,16
102,56,26,3,29
102,72,8,2,10
102,74,4,2,6
103,23,13,1,14
103,66,15,0,15
104,90,61,16,77
105,107,0,0,0
105,114,4,0,4
105,13,0,0,0
105,14,0,0,0
105,15,0,1,1
105,17,0,0,0
105,21,0,0,0
105,22,0,0,0
105,24,0,0,0
105,30,0,0,0
105,34,0,0,0
105,37,0,0,0
105,41,0,0,0
105,47,0,0,0
105,57,0,0,0
105,60,0,0,0
105,61,0,0,0
105,65,0,0,0
105,7,0,0,0
105,78,0,0,0
105,87,0,0,0
106,45,0,2,2
106,72,7,0,7
106,74,5,0,5
107,116,49,0,49
107,13,0,0,0
107,14,0,0,0
107,15,0,0,0
107,17,0,0,0
107,21,0,0,0
107,22,0,0,0
107,24,0,0,0
107,30,0,0,0
107,34,0,0,0
107,37,0,0,0
107,41,0,0,0
107,47,0,0,0
107,57,0,0,0
107,60,0,0,0
107,61,0,0,0
107,65,0,0,0
107,7,0,0,0
107,78,0,0,0
107,87,0,3,3
108,12,10,3,13
108,134,68,1,69
108,58,2,3,5
108,87,285,28,313
109,39,10,0,10
109,44,11,0,11
11,35,0,8,8
11,51,0,2,2
11,71,0,0,0
11,80,0,2,2
11,86,7,2,9
110,124,1,0,1
110,135,2,0,2
111,124,1,0,1
111,135,0,0,0
112,122,2,0,2
112,135,0,0,0
113,122,1,0,1
113,135,3,0,3
114,118,7,0,7
114,91,3,0,3
116,52,3,0,3
116,55,130,0,130
116,89,7,0,7
117,32,0,0,0
117,62,0,0,0
117,69,0,0,0
117,93,0,0,0
118,79,2,0,2
118,91,9,0,9
119,120,0,0,0
119,126,98,9,107
119,130,71,0,71
120,125,62,0,62
120,126,12,2,14
120,130,90,0,90
121,130,60,1,61
122,71,2,0,2
122,76,5,0,5
123,129,9,0,9
123,13,7,4,11
123,2,7,4,11
123,42,5,0,5
123,66,0,0,0
124,76,2,0,2
124,8,6,0,6
125,128,0,0,0
126,128,0,0,0
126,89,95,2,97
127,129,5,0,5
127,20,3,0,3
127,9,5,0,5
128,89,163,0,163
129,133,2,0,2
129,16,0,0,0
129,18,7,1,8
129,66,6,0,6
13,14,0,57,57
13,15,0,42,42
13,17,0,35,35
13,2,0,94,94
13,21,0,13,13
13,22,0,18,18
13,24,0,20,20
13,30,0,18,18
13,34,0,14,14
13,37,0,9,9
13,41,0,7,7
13,47,0,4,4
13,57,0,0,0
13,60,0,0,0
13,61,0,2,2
13,65,0,1,1
13,7,0,45,45
13,78,0,0,0
13,87,0,1,1
130,132,7,0,7
131,36,1,1,2
131,77,0,0,0
131,81,2,0,2
131,83,2,0,2
132,134,17,0,17
136,75,86,5,91
137,69,0,0,0
137,95,0,0,0
137,98,0,0,0
14,15,0,37,37
14,17,0,35,35
14,21,0,29,29
14,22,0,21,21
14,24,0,21,21
14,30,0,10,10
14,34,0,8,8
14,37,0,8,8
14,41,0,5,5
14,47,0,7,7
14,57,0,1,1
14,60,0,3,3
14,61,0,4,4
14,65,0,3,3
14,7,0,55,55
14,78,0,1,1
14,87,0,1,1
15,17,0,20,20
15,21,0,19,19
15,22,0,20,20
15,24,0,18,18
15,30,0,140,140
15,34,0,6,6
15,35,1,120,121
15,37,0,15,15
15,41,0,8,8
15,47,0,8,8
15,57,0,0,0
15,60,0,1,1
15,61,0,4,4
15,64,0,2,2
15,65,0,2,2
15,7,0,40,40
15,78,0,1,1
15,8,0,29,29
15,87,0,1,1
16,86,5,2,7
17,21,0,18,18
17,22,0,9,9
17,24,0,145,145
17,27,0,10,10
17,28,0,149,149
17,30,0,7,7
17,34,0,7,7
17,37,0,7,7
17,41,0,6,6
17,42,0,7,7
17,43,0,4,4
17,47,0,7,7
17,49,0,1,1
17,55,0,1,1
17,57,0,2,2
17,60,0,0,0
17,61,0,1,1
17,65,0,0,0
17,7,0,34,34
17,78,0,1,1
17,87,0,1,1
18,20,0,29,29
19,86,7,1,8
2,39,0,11,11
21,22,0,7,7
21,24,0,8,8
21,30,0,8,8
21,34,0,3,3
21,37,0,1,1
21,41,0,2,2
21,47,0,3,3
21,57,0,0,0
21,60,0,4,4
21,61,0,3,3
21,65,0,0,0
21,7,0,22,22
21,78,0,0,0
21,85,4,1,5
21,87,0,0,0
22,24,0,6,6
22,30,0,4,4
22,34,0,2,2
22,37,0,3,3
22,41,0,7,7
22,47,0,1,1
22,57,0,0,0
22,60,0,1,1
22,61,0,2,2
22,65,0,1,1
22,7,0,25,25
22,78,0,0,0
22,86,4,2,6
22,87,0,0,0
23,86,6,3,9
24,30,0,4,4
24,34,0,2,2
24,37,0,4,4
24,41,0,2,2
24,47,0,1,1
24,57,0,1,1
24,60,0,0,0
24,61,0,0,0
24,65,0,0,0
24,7,0,13,13
24,78,0,0,0
24,87,0,0,0
25,85,6,1,7
25,86,6,2,8
26,4,0,21,21
26,5,0,24,24
26,67,0,0,0
27,28,0,3,3
